County,value
Alameda,142125.0
Amador,2050.0
Butte,843776.0
Calaveras,48644.0
Colusa,1020.0
Contra Costa,112910.0
Del Norte,20.0
El Dorado,2168563.0
Fresno,58000.0
Glenn,2500.0
Humboldt,48505.0
Inyo,60350.0
Kings,0.0
Lake,404321.0
Lassen,5377.0
Madera,12650.0
Mariposa,400.0
Mendocino,314912.0
Merced,0.0
Modoc,30051.0
Monterey,3875.0
Napa,102762.0
Nevada,332568.0
Placer,69951.0
Plumas,1274.0
Riverside,7978346.0
Sacramento,2.0
San Benito,22600.0
San Bernardino,7326.0
San Diego,277957.0
San Joaquin,1.0
San Luis Obispo,41050.0
San Mateo,1215.0
Santa Clara,13560.0
Santa Cruz,749518.0
Shasta,5501894.0
Sierra,0.0
Siskiyou,2600.0
Solano,327704.0
Sonoma,9366896.0
Sutter,0.0
Tehama,346400.0
Tulare,30920.0
Tuolumne,107172.0
Yolo,15000.0
Yuba,34257.0
