County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd,Duration_Days
MARIPOSA,MOTOR,2011-08-25,2011-10-01,"5,230",0,0,38 days,0.0,0.0,38
LOS ANGELES,OASIS,2011-08-27,2011-08-29,375,0,0,3 days,0.0,0.0,3
SOLANO,BEACON,2011-08-27,2011-08-30,715,0,0,4 days,0.0,0.0,4
SAN BERNARDINO,WELLS,2011-08-28,2011-08-30,"1,784",0,0,3 days,0.0,0.0,3
RIVERSIDE,KELLER,2011-08-29,2011-08-31,450,0,0,3 days,0.0,0.0,3
SAN BERNARDINO,HILL,2011-09-02,2011-09-08,"1,153",0,0,7 days,3.0,2.0,7
SAN LUIS OBISPO,SODA,2011-09-03,2011-09-04,"1,528",0,0,2 days,1.0,0.0,2
SANTA BARBARA,FIGUEROA,2011-09-03,2011-09-12,698,0,0,10 days,0.0,0.0,10
TULARE,ROADRUNNER,2011-09-04,2011-09-05,335,0,0,2 days,0.0,0.0,2
KERN,CANYON,2011-09-04,2011-09-11,"14,585",0,0,8 days,100.0,0.0,8
TULARE,WILLOWS,2011-09-04,2011-09-12,310,0,0,9 days,0.0,0.0,9
LOS ANGELES,"WAGON
WHEEL",2011-09-05,2011-09-08,500,0,0,4 days,8.0,0.0,4
SAN JOAQUIN,MILTON,2011-09-09,2011-09-11,"1,122",0,0,3 days,0.0,0.0,3
KERN,"KEENE
COMPLEX",2011-09-10,2011-09-14,"10,470",0,0,5 days,0.0,0.0,5
KERN,"COMANCHE
COMPLEX",2011-09-10,2011-09-17,"29,338",0,0,8 days,0.0,0.0,8
KERN,"BRECKENRIDGE
COMPLEX",2011-09-10,2011-09-17,"25,213",0,0,8 days,0.0,0.0,8
TULARE,TENNESSEE,2011-09-11,2011-09-12,380,0,0,2 days,0.0,0.0,2
EL DORADO,LONG,2011-09-12,2011-11-11,483,0,0,61 days,0.0,0.0,61
INYO,JOHN,2011-09-13,2011-09-16,"5,300",0,0,4 days,0.0,0.0,4
MARIPOSA,TAMARACK,2011-09-13,2011-10-17,"1,015",0,0,35 days,0.0,0.0,35
TUOLUMNE,BURST COMPLEX,2011-09-15,2011-09-15,508,0,0,1 days,0.0,0.0,1
LOS ANGELES,MINT,2011-09-17,2011-09-30,634,0,0,14 days,0.0,0.0,14
TULARE,"TUU SEPT
LIGHTNING",2011-09-23,2011-09-24,350,0,0,2 days,0.0,0.0,2
KERN,OLD FIRE,2011-09-23,2011-09-24,410,0,0,2 days,0.0,0.0,2
KERN,65 FIRE,2011-09-23,2011-09-24,"2,005",0,0,2 days,0.0,0.0,2
TRINITY,RUTH,2011-09-23,2011-11-15,"1,460",0,0,54 days,31.0,0.0,54
RIVERSIDE,WINDY POINT,2011-09-25,2011-10-03,541,0,0,9 days,0.0,0.0,9
SAN DIEGO,GREAT,2011-10-01,2011-10-07,"2,135",0,0,7 days,0.0,0.0,7
CALAVERAS,BLUE,2011-12-01,2011-12-06,698,0,0,6 days,0.0,0.0,6
EL DORADO,SALT,2011-12-01,2012-01-04,342,0,0,35 days,0.0,0.0,35
MARIPOSA,RIVER,2012-05-18,2012-05-22,320,0,0,5 days,0.0,0.0,5
SAN DIEGO,BANNER 4,2012-05-24,2012-05-29,"5,320",0,0,6 days,0.0,0.0,6
MERCED,BILLY,2012-05-31,2012-05-31,434,0,0,1 days,0.0,0.0,1
TULARE,GEORGE,2012-06-01,2012-06-15,"1,707",0,0,15 days,0.0,0.0,15
LOS ANGELES,5 MILE,2012-06-08,2012-06-09,525,0,0,2 days,0.0,0.0,2
FRESNO,LASSEN,2012-06-12,2012-06-13,418,0,0,2 days,0.0,0.0,2
MARIPOSA,GAINES,2012-06-12,2012-06-14,"1,700",0,0,3 days,0.0,0.0,3
VENTURA,OZENA,2012-06-16,2012-06-17,361,0,0,2 days,0.0,0.0,2
RIVERSIDE,HIGHLAND,2012-06-16,2012-06-18,"2,171",0,0,3 days,0.0,0.0,3
MARIPOSA,CASCADE,2012-06-16,2012-11-26,"1,705",0,0,164 days,0.0,0.0,164
RIVERSIDE,VIEW,2012-06-17,2012-06-18,375,0,0,2 days,0.0,0.0,2
SAN DIEGO,OLD 2,2012-06-17,2012-06-20,995,0,0,4 days,2.0,0.0,4
KERN,GULCH,2012-06-19,2012-06-21,385,0,0,3 days,1.0,0.0,3
VENTURA,HILL,2012-06-23,2012-06-27,689,0,0,5 days,0.0,0.0,5
SHASTA,DALE,2012-07-05,2012-07-07,"1,083",0,0,3 days,2.0,5.0,3
INYO,FISH,2012-07-07,2012-07-09,"1,103",0,0,3 days,0.0,0.0,3
COLUSA,MILL,2012-07-07,2012-07-18,"29,502",0,0,12 days,5.0,0.0,12
COLUSA,SITES,2012-07-08,2012-07-09,365,0,0,2 days,0.0,0.0,2
COLUSA,GRAPEVINE,2012-07-08,2012-07-12,"1,870",0,0,5 days,0.0,0.0,5
MONTEREY,TURKEY,2012-07-09,2012-07-10,"2,529",0,0,2 days,0.0,0.0,2
COLUSA,RAIL,2012-07-09,2012-07-12,"1,870",0,0,4 days,0.0,0.0,4
TUOLUMNE,SEVEN,2012-07-10,2012-07-11,840,0,0,2 days,1.0,0.0,2
TRINITY,FLAT,2012-07-11,2012-07-17,"1,688",0,0,7 days,0.0,0.0,7
PLACER,ROBBERS,2012-07-11,2012-07-21,"2,650",0,0,11 days,8.0,0.0,11
FRESNO,WOODS CREEK,2012-07-15,2012-07-21,325,0,0,7 days,0.0,0.0,7
SAN LUIS OBISPO,CALF,2012-07-16,2012-07-18,640,0,0,3 days,0.0,0.0,3
KERN,SAND,2012-07-17,2012-07-19,"1,428",0,0,3 days,1.0,0.0,3
LASSEN,SPANISH,2012-07-18,2012-07-21,"1,169",0,0,4 days,0.0,0.0,4
YOLO,FOREST,2012-07-21,2012-07-24,520,0,0,4 days,0.0,0.0,4
SHASTA,READING,2012-07-23,2012-08-21,"28,079",0,0,30 days,0.0,0.0,30
TEHAMA,PASKENTA,2012-07-25,2012-07-25,300,0,0,1 days,0.0,0.0,1
KERN,GRAPE,2012-07-28,2012-07-29,370,0,0,2 days,0.0,0.0,2
MENDOCINO,NORTH,2012-07-28,2012-07-30,383,0,0,3 days,0.0,0.0,3
PLUMAS,PEAK,2012-07-29,2012-08-02,800,0,0,5 days,0.0,0.0,5
PLUMAS,CHIPS,2012-07-29,2012-08-31,"75,217",0,0,34 days,9.0,0.0,34
SHASTA,SALT CREEK,2012-08-01,2012-08-04,980,0,0,4 days,1.0,0.0,4
RIVERSIDE,VOLCANO,2012-08-01,2012-08-05,356,0,0,5 days,1.0,0.0,5
SISKIYOU,DILLON,2012-08-03,2012-08-07,318,0,0,5 days,0.0,0.0,5
RIVERSIDE,RUSHMORE,2012-08-04,2012-08-04,"1,000",0,0,1 days,0.0,0.0,1
KERN,PIUTE COMLEX,2012-08-04,2012-08-11,"1,783",0,0,8 days,0.0,0.0,8
MODOC,LAKE COMPLEX,2012-08-05,2012-08-09,"1,668",0,0,5 days,0.0,0.0,5
FRESNO,BEAR,2012-08-05,2012-08-12,835,0,0,8 days,0.0,0.0,8
SISKIYOU,FORT COMPLEX,2012-08-05,2012-09-10,"23,653",0,0,37 days,0.0,0.0,37
MODOC,"BARRYPOINT
(CA LAND)",2012-08-06,2012-08-28,"38,394",0,0,23 days,3.0,0.0,23
MONO,INDIAN,2012-08-08,2012-08-15,"12,574",0,0,8 days,0.0,0.0,8
SAN DIEGO,CHIHUAHUA 2,2012-08-09,2012-08-12,"2,006",0,0,4 days,0.0,0.0,4
KERN,"JAWBONE
COMPLEX",2012-08-10,2012-08-22,"1,218",0,0,13 days,19.0,9.0,13
INYO,SOUTH COMPLEX,2012-08-10,2012-10-16,453,0,0,68 days,0.0,0.0,68
CALAVERAS,RAMSEY,2012-08-11,2012-08-31,"1,137",0,0,21 days,0.0,0.0,21
LAKE,WALKER,2012-08-12,2012-08-14,"5,000",0,0,3 days,0.0,0.0,3
LAKE,WYE,2012-08-12,2012-08-18,"2,934",0,0,7 days,3.0,2.0,7
LASSEN,RUSH,2012-08-12,2012-08-31,"271,911",0,0,20 days,0.0,1.0,20
SAN DIEGO,"VALLECITO
LIGHTNING
COMPLEX",2012-08-13,2012-08-20,"22,829",0,0,8 days,0.0,0.0,8
TEHAMA,MILL,2012-08-13,2012-08-23,"1,641",0,0,11 days,0.0,0.0,11
RIVERSIDE,BUCK,2012-08-14,2012-08-18,"2,681",0,0,5 days,4.0,0.0,5
MODOC,NELSON (W-1),2012-08-17,2012-08-21,"3,661",0,0,5 days,0.0,0.0,5
SHASTA,BAGLEY COMPLEX,2012-08-18,2012-08-22,"1,000",0,0,5 days,0.0,0.0,5
TEHAMA,PONDEROSA,2012-08-18,2012-09-02,"27,676",0,0,16 days,133.0,6.0,16
SHASTA,BAGLEY,2012-08-18,2012-09-15,"46,011",0,0,29 days,0.0,0.0,29
MENDOCINO,NORTH PASS,2012-08-18,2012-09-16,"41,983",0,0,30 days,26.0,4.0,30
RIVERSIDE,VISTA,2012-08-20,2012-08-21,500,0,0,2 days,0.0,0.0,2
MODOC,ANTELOPE,2012-08-21,2012-08-25,650,0,0,5 days,0.0,0.0,5
LOS ANGELES,WILLIAMS,2012-09-02,2012-09-11,"4,192",0,0,10 days,0.0,0.0,10
COLUSA,"SIXTEEN
COMPLEX",2012-09-04,2012-09-11,"19,000",0,0,8 days,0.0,0.0,8
TRINITY,STAFFORD,2012-09-05,2012-09-13,"4,407",0,0,9 days,0.0,0.0,9
LASSEN,LIKELY,2012-09-05,2012-09-14,"9,838",0,0,10 days,0.0,0.0,10
LAKE,SCOTTS,2012-09-07,2012-09-14,"4,517",0,0,8 days,0.0,0.0,8
SHASTA,WARD,2012-09-11,2012-09-14,550,0,0,4 days,0.0,0.0,4
SAN DIEGO,SHOCKEY,2012-09-23,2012-09-27,"2,555",0,0,5 days,39.0,2.0,5
RIVERSIDE,RANGE,2012-09-29,2012-10-01,351,0,0,3 days,3.0,0.0,3
LAKE,TWENTY NINE,2012-10-18,2012-10-21,300,0,0,4 days,8.0,0.0,4
SAN BERNARDINO,DEVORE,2012-11-05,2012-11-06,335,0,0,2 days,1.0,0.0,2
LAKE,BECKS,2013-01-22,2013-01-23,335,0,0,2 days,0.0,0.0,2
INYO,RIVER,2013-02-24,2013-02-28,407,0,0,5 days,0.0,0.0,5
RIVERSIDE,JURUPA,2013-02-28,2013-03-02,300,0,0,3 days,0.0,2.0,3
RIVERSIDE,SUMMIT,2013-05-01,2013-05-04,"2,956",0,0,4 days,2.0,0.0,4
TEHAMA,PANTHER,2013-05-01,2013-05-09,"6,896",0,0,9 days,0.0,0.0,9
VENTURA,SPRINGS,2013-05-02,2013-05-09,"24,251",0,0,8 days,10.0,12.0,8
SAN BENITO,TRES PINOS,2013-05-03,2013-05-04,354,0,0,2 days,0.0,0.0,2
MENDOCINO,FOSTER,2013-05-03,2013-05-05,300,0,0,3 days,0.0,0.0,3
RIVERSIDE,GORGONIO,2013-05-04,2013-05-04,650,0,0,1 days,0.0,0.0,1
KERN,GRAND,2013-05-15,2013-05-22,"4,346",0,0,8 days,0.0,0.0,8
LOS ANGELES,LAKE,2013-05-17,2013-05-20,712,0,0,4 days,0.0,0.0,4
SAN DIEGO,FELIPE,2013-05-23,2013-05-29,"2,650",0,0,7 days,0.0,0.0,7
MERCED,RIVER,2013-05-26,2013-05-27,450,0,0,2 days,0.0,0.0,2
SAN DIEGO,GENERAL,2013-05-26,2013-05-31,"2,500",0,0,6 days,0.0,0.0,6
SANTA BARBARA,WHITE,2013-05-27,2013-06-05,"1,984",0,0,10 days,0.0,1.0,10
SAN JOAQUIN,SHELTON,2013-05-30,2013-05-30,303,0,0,1 days,0.0,0.0,1
LOS ANGELES,POWERHOUSE,2013-05-30,2013-06-10,"30,274",0,0,12 days,58.0,4.0,12
SAN LUIS OBISPO,BRANCH,2013-06-01,2013-06-04,486,0,0,4 days,0.0,0.0,4
RIVERSIDE,HATHAWAY,2013-06-09,2013-10-15,"3,870",0,0,129 days,1.0,0.0,129
MADERA,ROLLING,2013-06-16,2013-06-18,480,0,0,3 days,1.0,0.0,3
MARIPOSA,CARSTENS,2013-06-16,2013-06-26,"1,708",0,0,11 days,0.0,0.0,11
SAN BERNARDINO,MILL,2013-06-28,2013-07-02,534,0,0,5 days,0.0,3.0,5
CONTRA COSTA,KIRKER,2013-07-01,2013-07-02,492,0,0,2 days,2.0,0.0,2
MODOC,FOX,2013-07-03,2013-07-07,502,0,0,5 days,0.0,0.0,5
SAN DIEGO,CHARIOT,2013-07-06,2013-07-15,"7,055",0,0,10 days,149.0,9.0,10
EL DORADO,KYBURZ,2013-07-08,2013-07-11,572,0,0,4 days,2.0,0.0,4
RIVERSIDE,MOUNTAIN,2013-07-15,2013-07-31,"27,531",0,0,17 days,23.0,1.0,17
KERN,RANCHO,2013-07-19,2013-07-22,500,0,0,4 days,0.0,0.0,4
FRESNO,ASPEN,2013-07-22,2013-09-08,"22,992",0,0,49 days,0.0,0.0,49
KERN,WATER,2013-07-23,2013-07-25,612,0,0,3 days,0.0,0.0,3
HUMBOLDT,DANCE,2013-07-29,2013-08-02,577,0,0,5 days,3.0,0.0,5
SISKIYOU,FORKS COMPLEX,2013-07-31,2013-10-01,"37,246",0,0,63 days,0.0,0.0,63
RIVERSIDE,FALLS,2013-08-05,2013-08-09,"1,383",0,0,5 days,0.0,0.0,5
TUOLUMNE,POWER,2013-08-05,2013-08-13,"1,070",0,0,9 days,0.0,2.0,9
RIVERSIDE,SILVER,2013-08-07,2013-08-15,"20,292",0,0,9 days,48.0,8.0,9
HUMBOLDT,CORRAL COMPLEX,2013-08-10,2013-10-02,"12,503",0,0,54 days,0.0,0.0,54
PLACER,AMERICAN,2013-08-11,2013-08-29,"27,440",0,0,19 days,5.0,2.0,19
BUTTE,SWEDES,2013-08-16,2013-08-22,"2,264",0,0,7 days,8.0,0.0,7
TUOLUMNE,RIM,2013-08-17,2013-10-27,"257,314",0,0,72 days,112.0,7.0,72
KERN,SHIRLEY COMPLEX,2013-08-18,2013-08-22,794,0,0,5 days,0.0,0.0,5
PLUMAS,HOUGH COMPLEX,2013-08-18,2013-08-24,513,0,0,7 days,0.0,0.0,7
SAN BERNARDINO,GOBBLERS,2013-08-20,2013-08-30,413,0,0,11 days,0.0,0.0,11
MONTEREY,MISSION,2013-08-22,2013-08-25,"4,500",0,0,4 days,0.0,0.0,4
TEHAMA,DEER,2013-08-23,2013-08-29,"11,429",0,0,7 days,0.0,0.0,7
TULARE,FISH,2013-08-23,2013-09-05,"2,060",0,0,14 days,0.0,0.0,14
FRESNO,WINDY PEAK,2013-08-23,2013-10-20,681,0,0,59 days,0.0,0.0,59
CONTRA COSTA,MORGAN,2013-09-08,2013-09-14,"3,100",0,0,7 days,0.0,0.0,7
SHASTA,CLOVER,2013-09-09,2013-09-15,"8,073",0,1,7 days,196.0,15.0,7
NAPA,PUTAH,2013-10-03,2013-10-04,376,0,0,2 days,0.0,0.0,2
BUTTE,SUMMIT,2013-10-04,2013-10-05,305,0,0,2 days,54.0,6.0,2
SAN DIEGO,DELUZ,2013-10-05,2013-10-09,"2,236",0,0,5 days,0.0,1.0,5
SONOMA,MCCABE,2013-11-22,2013-11-28,"3,505",0,0,7 days,1.0,0.0,7
LAKE,HIGHGLADE,2013-11-23,2013-11-29,305,0,0,7 days,0.0,0.0,7
MONTEREY,PFEIFFER,2013-12-16,2013-12-20,917,0,0,5 days,38.0,0.0,5
TEHAMA,CAMPBELL,2014-01-02,2014-01-10,865,0,0,9 days,0.0,0.0,9
HUMBOLDT,RED,2014-01-04,2014-01-12,333,0,0,9 days,0.0,0.0,9
TULARE,SODA,2014-01-14,2014-04-19,"1,612",0,0,96 days,0.0,0.0,96
LOS ANGELES,COLBY,2014-01-16,2014-01-24,"1,952",0,0,9 days,15.0,8.0,9
RIVERSIDE,PIERCE,2014-03-15,2014-03-16,350,0,0,2 days,0.0,0.0,2
SAN BERNARDINO,ETIWANDA,2014-04-30,2014-05-01,"2,200",0,0,2 days,0.0,0.0,2
SANTA BARBARA,MIGUELITO,2014-05-13,2014-05-16,632,0,0,4 days,0.0,0.0,4
SAN DIEGO,BERNARDO,2014-05-13,2014-05-21,"1,548",0,0,9 days,0.0,0.0,9
SAN DIEGO,POINSETTIA,2014-05-14,2014-05-17,600,0,0,4 days,28.0,0.0,4
SAN DIEGO,"SAN DIEGO
COMPLEX",2014-05-14,2014-05-22,"2,438",0,0,9 days,48.0,5.0,9
SAN DIEGO,"BASILONE
COMPLEX",2014-05-17,2014-05-19,"21,240",0,0,3 days,0.0,1.0,3
MARIPOSA,HUNTER,2014-05-26,2014-06-04,677,0,0,10 days,3.0,0.0,10
TUOLUMNE,59,2014-06-04,2014-06-09,402,0,0,6 days,0.0,0.0,6
KERN,SHIRLEY,2014-06-13,2014-06-21,"2,545",0,0,9 days,4.0,0.0,9
MERCED,GUN CLUB,2014-06-19,2014-06-19,400,0,0,1 days,0.0,0.0,1
MONTEREY,STONY,2014-06-19,2014-06-22,"4,840",0,0,4 days,0.0,0.0,4
MONTEREY,LOOP,2014-06-30,2014-06-30,500,0,0,1 days,0.0,0.0,1
MODOC,"MODOC JULY
COMPLEX",2014-07-01,2014-07-07,"2,566",0,0,7 days,0.0,0.0,7
NAPA,BUTTS,2014-07-01,2014-07-10,"4,300",0,0,10 days,9.0,0.0,10
YOLO,MONTICELLO,2014-07-04,2014-07-13,"6,488",0,0,10 days,0.0,0.0,10
KERN,NICOLLS,2014-07-11,2014-07-19,"1,680",0,0,9 days,0.0,0.0,9
SHASTA,BULLY,2014-07-11,2014-07-23,"12,661",0,1,13 days,18.0,1.0,13
MARIPOSA,DARK HOLE,2014-07-16,2014-08-20,"1,077",0,0,36 days,0.0,0.0,36
MERCED,GUN CLUB,2014-07-24,2014-08-02,422,0,0,10 days,0.0,0.0,10
EL DORADO,SAND,2014-07-25,2014-08-03,"4,240",0,0,10 days,47.0,0.0,10
MERCED,KELLEY,2014-07-26,2014-07-26,"1,000",0,0,1 days,0.0,0.0,1
MARIPOSA,EL PORTAL,2014-07-26,2014-08-04,"4,689",0,0,10 days,2.0,2.0,10
MADERA,FRENCH,2014-07-28,2014-08-18,"13,838",0,0,22 days,0.0,0.0,22
BUTTE,WEB,2014-07-29,2014-08-27,378,0,0,30 days,0.0,0.0,30
MODOC,DAY,2014-07-30,2014-08-13,"13,153",0,0,15 days,10.0,0.0,15
SHASTA,BALD,2014-07-30,2014-08-16,"39,736",0,0,18 days,0.0,0.0,18
SISKIYOU,KNF BEAVER,2014-07-30,2014-08-30,"32,496",0,0,32 days,6.0,0.0,32
TRINITY,COFFEE COMPLEX,2014-07-30,2014-08-31,"6,258",0,0,33 days,0.0,0.0,33
MENDOCINO,"LODGE
COMPLEX",2014-07-30,2014-09-21,"12,535",0,0,54 days,0.0,0.0,54
SISKIYOU,LITTLE DEER,2014-07-31,2014-08-11,"5,503",0,0,12 days,1.0,0.0,12
SHASTA,EILER,2014-07-31,2014-08-24,"32,416",0,0,25 days,21.0,0.0,25
SISKIYOU,JULY COMPLEX,2014-08-03,2014-09-25,"50,042",0,0,54 days,2.0,0.0,54
YOLO,THIRTY ONE 2,2014-08-09,2014-08-09,370,0,0,1 days,0.0,0.0,1
SISKIYOU,"HAPPY CAMP
COMPLEX",2014-08-14,2014-10-31,"134,056",0,0,79 days,6.0,2.0,79
MARIPOSA,MEADOW,2014-08-15,2014-09-29,"4,772",0,0,46 days,0.0,0.0,46
MADERA,JUNCTION,2014-08-18,2014-08-25,612,0,0,8 days,47.0,6.0,8
KERN,WAY,2014-08-18,2014-08-28,"4,045",0,0,11 days,12.0,4.0,11
TRINITY,OREGON,2014-08-24,2014-08-30,461,0,0,7 days,1.0,0.0,7
SHASTA,GULCH,2014-09-10,2014-09-15,"1,300",0,0,6 days,4.0,0.0,6
ORANGE,SILVERADO,2014-09-12,2014-09-20,985,0,0,9 days,0.0,0.0,9
MENDOCINO,BLACK,2014-09-13,2014-09-17,403,0,0,5 days,11.0,0.0,5
EL DORADO,KING,2014-09-13,2014-10-09,"97,717",0,0,27 days,80.0,1.0,27
MADERA,COURTNEY,2014-09-14,2014-09-22,320,0,0,9 days,49.0,7.0,9
GLENN,TRACT 17,2014-09-17,2014-09-19,395,0,0,3 days,0.0,0.0,3
BUTTE,NELSON,2014-09-18,2014-09-21,500,0,0,4 days,0.0,0.0,4
MARIPOSA,DOG ROCK,2014-10-07,2014-10-12,311,1,0,6 days,0.0,0.0,6
PLACER,APPLEGATE,2014-10-08,2014-10-22,459,0,0,15 days,10.0,0.0,15
MONO,VAN DYKE,2015-02-06,2015-02-10,509,0,0,5 days,0.0,0.0,5
INYO,ROUND,2015-02-06,2015-02-13,"7,000",0,0,8 days,43.0,5.0,8
RIVERSIDE,HIGHWAY,2015-04-18,2015-04-24,"1,049",0,0,7 days,0.0,0.0,7
SAN DIEGO,CARL,2015-04-28,2015-04-29,"4,000",0,0,2 days,0.0,0.0,2
SAN DIEGO,MORTAR,2015-04-28,2015-04-29,800,0,0,2 days,0.0,0.0,2
SAN DIEGO,GRENADE,2015-04-29,2015-05-05,"2,025",0,0,7 days,0.0,0.0,7
MERCED,FOREBAY,2015-05-11,2015-05-12,692,0,0,2 days,0.0,0.0,2
TRINITY,SADDLE,2015-06-09,2015-06-25,"1,542",0,0,17 days,0.0,0.0,17
MONTEREY,PEANUT,2015-06-11,2015-06-11,"1,532",0,0,1 days,0.0,0.0,1
SAN BERNARDINO,LAKE,2015-06-17,2015-07-05,"31,359",0,0,19 days,4.0,0.0,19
MADERA,CORRINE,2015-06-18,2015-06-24,920,0,0,7 days,2.0,0.0,7
MADERA,SKY,2015-06-18,2015-06-26,500,0,0,9 days,0.0,0.0,9
SAN LUIS OBISPO,PARKHILL,2015-06-20,2015-06-20,"1,791",0,0,1 days,18.0,3.0,1
LOS ANGELES,CALGROVE,2015-06-24,2015-06-26,415,0,0,3 days,0.0,1.0,3
SACRAMENTO,IONE,2015-07-02,2015-07-05,357,0,0,4 days,0.0,0.0,4
SISKIYOU,YORK,2015-07-04,2015-07-06,395,0,0,3 days,0.0,0.0,3
SAN BERNARDINO,NORTH,2015-07-17,2015-07-21,"4,250",0,0,5 days,23.0,5.0,5
MERCED,MCCABE,2015-07-18,2015-07-22,"1,600",0,0,5 days,0.0,0.0,5
TULARE,CABIN,2015-07-19,2015-09-05,"6,980",0,0,49 days,0.0,0.0,49
TULARE,TRIPLE 3,2015-07-21,2015-07-21,430,0,0,1 days,0.0,0.0,1
NAPA,WRAGG,2015-07-22,2015-08-06,"8,051",0,0,16 days,2.0,5.0,16
NEVADA,LOWELL,2015-07-25,2015-08-12,"2,304",0,0,19 days,3.0,1.0,19
MADERA,WILLOW,2015-07-25,2015-08-15,"5,702",0,0,22 days,0.0,0.0,22
LAKE,ROCKY,2015-07-29,2015-08-14,"69,636",0,0,17 days,96.0,8.0,17
BUTTE,SWEDES,2015-07-29,2015-08-16,400,0,0,19 days,16.0,0.0,19
MODOC,FROG,2015-07-30,2015-08-06,"4,863",1,0,8 days,0.0,0.0,8
HUMBOLDT,HUMBOLDT COMPLEX,2015-07-30,2015-08-21,"4,883",0,0,23 days,7.0,0.0,23
TRINITY,FORK COMPLEX,2015-07-30,2015-08-29,"36,499",0,0,31 days,12.0,0.0,31
HUMBOLDT,ROUTE COMPLEX,2015-07-30,2015-08-31,"35,675",0,0,33 days,2.0,0.0,33
TRINITY,MAD RIVER COMPLEX,2015-07-30,2015-09-03,"37,462",0,0,36 days,4.0,0.0,36
TRINITY,RIVER COMPLEX,2015-07-30,2015-10-15,"77,081",0,0,78 days,0.0,0.0,78
MERCED,CREEK,2015-07-31,2019-07-31,"1,450",0,0,1462 days,0.0,0.0,1462
DEL NORTE,GASQUET COMPLEX,2015-07-31,2015-10-15,"30,361",0,0,77 days,0.0,0.0,77
FRESNO,ROUGH,2015-07-31,2015-12-01,"151,623",0,0,124 days,4.0,0.0,124
DEL NORTE,NICKOWITZ,2015-08-01,2015-09-30,"7,509",0,0,61 days,0.0,0.0,61
TRINITY,SOUTH COMPLEX,2015-08-01,2015-10-01,"29,416",0,0,62 days,3.0,0.0,62
LASSEN,DODGE,2015-08-03,2015-08-17,"10,570",0,0,15 days,0.0,0.0,15
LAKE,JERUSALEM,2015-08-09,2015-08-25,"25,118",0,0,17 days,27.0,0.0,17
RIVERSIDE,ANZA,2015-08-10,2015-08-15,500,0,0,6 days,0.0,0.0,6
SAN DIEGO,HORNO,2015-08-13,2015-08-17,"1,846",0,0,5 days,0.0,0.0,5
LOS ANGELES,CABIN,2015-08-14,2015-08-20,"1,723",0,0,7 days,3.0,0.0,7
MONO,WALKER,2015-08-14,2015-08-31,"3,676",0,0,18 days,0.0,0.0,18
LOS ANGELES,WARM,2015-08-16,2015-08-19,300,0,0,4 days,3.0,3.0,4
SAN LUIS OBISPO,CUESTA,2015-08-16,2015-09-03,"2,446",0,0,19 days,1.0,0.0,19
KERN,DEER,2015-08-18,2015-08-20,311,0,0,3 days,0.0,0.0,3
ALAMEDA,TESLA,2015-08-19,2015-08-25,"2,850",0,0,7 days,1.0,0.0,7
LAKE,ELK,2015-09-02,2015-09-06,700,0,0,5 days,0.0,0.0,5
MARIPOSA,TENAYA,2015-09-07,2015-09-16,415,0,0,10 days,0.0,0.0,10
AMADOR,BUTTE,2015-09-09,2015-10-23,"70,868",0,2,45 days,965.0,0.0,45
BUTTE,LUMPKIN,2015-09-11,2015-09-21,"1,040",0,0,11 days,0.0,0.0,11
LAKE,VALLEY,2015-09-12,2015-10-15,"76,067",0,4,34 days,0.0,93.0,34
MONTEREY,TASSAJARA,2015-09-19,2015-09-29,"1,086",0,0,11 days,20.0,1.0,11
BUTTE,MERIDIAN,2015-10-03,2015-10-04,860,0,0,2 days,0.0,0.0,2
SAN BENITO,CIENEGA,2015-10-12,2015-10-16,690,0,0,5 days,0.0,0.0,5
VENTURA,SOLIMAR,2015-12-25,2015-12-28,"1,288",0,0,4 days,0.0,0.0,4
SAN LUIS OBISPO,CAMP ROBERTS,2016-05-18,2016-05-20,"3,712",0,0,3 days,0.0,0.0,3
MONTEREY,METZ,2016-05-22,2016-05-25,"3,876",0,0,4 days,0.0,0.0,4
MONTEREY,METZ,2016-05-22,2016-05-25,"3,876",0,0,4 days,0.0,0.0,4
TULARE,CHIMNEY,2016-06-01,2016-06-07,"1,324",0,0,7 days,0.0,0.0,7
MONTEREY,STONY,2016-06-02,2016-06-17,"3,000",0,0,16 days,0.0,0.0,16
SAN LUIS OBISPO,SODA,2016-06-04,2016-06-06,"2,003",0,0,3 days,0.0,0.0,3
LOS ANGELES,OLD,2016-06-04,2016-06-10,465,0,0,7 days,9.0,1.0,7
MONTEREY,COLEMAN,2016-06-04,2016-06-17,"2,520",0,0,14 days,1.0,0.0,14
SISKIYOU,PONY,2016-06-07,2016-10-02,"2,860",0,0,118 days,0.0,0.0,118
SANTA BARBARA,SHERPA,2016-06-15,2016-06-23,"7,474",0,0,9 days,5.0,0.0,9
SAN DIEGO,BORDER 3,2016-06-19,2016-07-01,"7,609",0,2,13 days,16.0,3.0,13
LOS ANGELES,RESERVOIR,2016-06-20,2016-07-05,"1,146",0,1,16 days,0.0,0.0,16
LOS ANGELES,FISH,2016-06-20,2016-07-05,"4,253",0,0,16 days,0.0,0.0,16
KERN,ERSKINE,2016-06-23,2016-07-09,"48,019",0,2,17 days,286.0,12.0,17
MONO,MARINA,2016-06-24,2016-07-04,654,0,0,11 days,1.0,0.0,11
MERCED,DINOSAUR,2016-06-25,2016-06-26,"1,246",0,0,2 days,0.0,0.0,2
