County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd,Duration_Days
SHASTA,Whitmore Rd/Old Cow C2,2008-06-21,2008-07-15,"2,054",0,0,25 days,,,25
YUBA,YUBA RIVER COMPLEX,2008-06-21,2008-07-15,"4,254",0,0,25 days,,,25
MENDOCINO,Mallo-B Lightning,2008-06-21,2008-07-17,"4,466",0,0,27 days,,,27
SHASTA,WHISKEYTOWN COMPLEX,2008-06-21,2008-07-19,"6,420",0,0,29 days,,,29
LASSEN,CUB COMPLEX,2008-06-21,2008-07-20,"19,718",0,0,30 days,,,30
SHASTA,Lewiston 8,2008-06-21,2008-07-23,"1,311",0,0,33 days,,,33
SHASTA,STA 57 ONO CDF IGO 2,2008-06-21,2008-07-24,"4,000",0,0,34 days,,,34
SHASTA,IGO 6,2008-06-21,2008-07-24,"4,200",0,0,34 days,,,34
SHASTA,IGO 13,2008-06-21,2008-07-24,600,0,0,34 days,,,34
SHASTA,IGO 15,2008-06-21,2008-07-24,"1,200",0,0,34 days,,,34
SHASTA,IGO 16,2008-06-21,2008-07-24,"4,800",0,0,34 days,,,34
SHASTA,IGO 17,2008-06-21,2008-07-24,"2,400",0,0,34 days,,,34
SHASTA,IGO 18,2008-06-21,2008-07-24,"4,200",0,0,34 days,,,34
LAKE,SODA COMPLEX,2008-06-21,2008-07-26,"8,632",0,0,36 days,,,36
MONTEREY,BASIN COMPLEX,2008-06-21,2008-07-27,"162,818",0,0,37 days,,,37
BUTTE,Frey,2008-06-21,2008-07-28,"4,000",0,0,38 days,,,38
PLACER,"AMERICAN RIVER
COMPLEX",2008-06-21,2008-07-30,"20,541",0,0,40 days,,,40
MENDOCINO,Red Mtn 1 Lightning,2008-06-21,2008-08-01,"7,515",0,0,42 days,,,42
HUMBOLDT,Paradise,2008-06-21,2008-08-01,"1,076",0,0,42 days,,,42
SHASTA,Moon,2008-06-21,2008-08-09,"6,030",0,0,50 days,,,50
