County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration
TRINITY,RIVER COMPLEX,2015-07-30,2015-10-15,"77,081",0,0,0,0,78.0
HUMBOLDT,ROUTE COMPLEX,2015-07-30,2015-08-31,"35,675",2,0,0,0,33.0
TRINITY,FORK COMPLEX,2015-07-30,2015-08-29,"36,499",12,0,0,0,31.0
TRINITY,MAD RIVER COMPLEX,2015-07-30,2015-09-03,"37,462",4,0,0,0,36.0
FRESNO,ROUGH,2015-07-31,2015-12-01,"151,623",4,0,0,0,124.0
TRINITY,SOUTH COMPLEX,2015-08-01,2015-10-01,"29,416",3,0,0,0,62.0
DEL NORTE,NICKOWITZ,2015-08-01,2015-09-30,"7,509",0,0,0,0,61.0
LASSEN,DODGE,2015-08-03,2015-08-17,"10,570",0,0,0,0,15.0
DEL NORTE,GASQUET COMPLEX,2015-07-31,2015-10-15,"30,361",0,0,0,0,77.0
SAN DIEGO,HORNO,2015-08-13,2015-08-17,"1,846",0,0,0,0,5.0
LOS ANGELES,CABIN,2015-08-14,2015-08-20,"1,723",3,0,0,0,7.0
MONO,WALKER,2015-08-14,2015-08-31,"3,676",0,0,0,0,18.0
LOS ANGELES,WARM,2015-08-16,2015-08-19,300,3,3,0,0,4.0
KERN,DEER,2015-08-18,2015-08-20,311,0,0,0,0,3.0
MARIPOSA,TENAYA,2015-09-07,2015-09-16,415,0,0,0,0,10.0
VENTURA,SOLIMAR,2015-12-25,2015-12-28,"1,288",0,0,0,0,4.0
,,,,"773,415",0,125,1,6,
FRESNO,JAYNE,2017-04-20,2017-04-21,"4,532",0,0,0,0,2.0
FRESNO,EL DORADO,2017-04-28,2017-04-28,750,0,0,0,0,1.0
RIVERSIDE,OPERA,2017-04-30,2017-05-02,"1,350",0,0,0,0,3.0
MERCED,WRIGHT,2017-05-12,2017-05-13,"1,733",0,0,0,0,2.0
FRESNO,ELM 2,2017-05-18,2017-05-21,"10,000",0,0,0,0,4.0
KERN,MING,2017-05-20,2017-05-22,506,0,0,0,0,3.0
SAN DIEGO,GATE,2017-05-20,2017-05-22,"2,056",0,0,0,0,3.0
TULARE,DINELY,2017-06-07,2017-06-10,339,0,0,0,0,4.0
MADERA,OAKWOOD,2017-06-10,2017-06-13,"1,417",0,0,0,0,4.0
FRESNO,MONTEREY,2017-06-11,2017-06-11,450,0,0,0,0,1.0
LOS ANGELES,LAKE,2017-06-17,2017-06-23,850,0,2,0,0,7.0
FRESNO,CREEK,2017-06-23,2017-06-27,357,4,0,0,0,5.0
LOS ANGELES,PLACERITA,2017-06-25,2017-06-28,760,1,1,0,0,4.0
RIVERSIDE,MANZANITA,2017-06-26,2017-06-30,"6,309",0,0,0,0,5.0
SAN LUIS OBISPO,HILL,2017-06-26,2017-06-28,"1,626",7,0,0,0,3.0
MARIPOSA,BEN,2017-06-28,2017-07-06,558,0,0,0,0,9.0
KERN,TARINA,2017-06-30,2017-07-01,"1,200",0,0,0,0,2.0
FRESNO,DERRICK,2017-07-02,2017-07-05,"1,562",0,0,0,0,4.0
SISKIYOU,FAY,2017-07-05,2017-07-31,496,1,0,0,0,27.0
YOLO,WINTER,2017-07-06,2017-07-14,"1,700",0,0,0,0,9.0
SAN LUIS OBISPO,ALAMO,2017-07-06,2017-07-18,"28,687",14,1,0,0,13.0
BUTTE,WALL,2017-07-07,2017-08-03,"6,033",91,10,0,0,28.0
MONTEREY,PARKFIELD,2017-07-08,2017-07-08,"1,816",0,1,0,0,1.0
KINGS,GARZA,2017-07-09,2017-07-25,"48,660",1,0,0,0,17.0
SAN LUIS OBISPO,STONE,2017-07-09,2017-07-11,340,3,0,0,0,3.0
SAN DIEGO,JENNINGS 2,2017-07-11,2017-07-14,400,0,0,0,0,4.0
SAN BERNARDINO,BRIDGE 2,2017-07-14,2017-07-18,460,0,0,0,0,5.0
MENDOCINO,GRADE,2017-07-16,2017-07-18,900,1,0,0,0,3.0
MARIPOSA,DETWILER,2017-07-16,2017-08-31,"81,826",134,21,0,0,47.0
FRESNO,PARK,2017-07-17,2017-07-30,"1,649",0,0,0,0,14.0
TULARE,ELEPHANT 2,2017-07-20,2017-07-21,416,0,0,0,0,2.0
SACRAMENTO,LATROBE,2017-07-26,2017-07-28,"1,268",0,0,0,0,3.0
TOULUMNE,JACKSONVILLE,2017-07-29,2017-08-04,675,1,0,0,0,7.0
TULARE,ROADRUNNER,2017-07-30,2017-07-31,"2,289",0,0,0,0,2.0
SAN BERNARDINO,BRYANT 2,2017-08-03,2017-08-14,325,1,0,0,0,12.0
RIVERSIDE,BLAINE,2017-08-13,2017-08-16,"1,500",0,46,0,0,4.0
RIVERSIDE,MIAS,2017-08-14,2017-08-18,600,0,0,0,0,5.0
BUTTE,PONDEROSA,2017-08-29,2017-10-28,"4,016",55,0,0,0,61.0
NEVADA,PLEASANT,2017-08-30,2017-09-06,392,1,1,0,0,8.0
RIVERSIDE,PALMER,2017-09-02,2017-09-09,"3,800",0,1,0,0,8.0
MADERA,MISSION,2017-09-03,2017-09-13,"1,037",7,4,0,0,11.0
MADERA,PEAK,2017-09-03,2017-09-09,680,4,0,0,0,7.0
SHASTA,BERRY,2017-09-12,2017-10-04,900,0,0,0,0,23.0
MADERA,EASTMAN,2017-09-18,2017-09-19,483,0,0,0,0,2.0
SANTA BARBARA,RUCKER,2017-09-29,2017-10-04,444,0,0,0,0,6.0
ORANGE,CANYON,2017-09-25,2017-10-03,"2,662",0,7,0,0,9.0
BUTTE,CHEROKEE,2017-10-08,2017-11-05,"8,500",6,1,0,0,29.0
YUBA,CASCADE (NEU WIND COMPLEX)*,2017-10-08,2017-10-19,"9,989",264,10,0,4,12.0
NEVADA,MCCOURTNEY (NEU WIND COMPLEX),2017-10-08,2017-10-21,76,13,2,0,0,14.0
NEVADA,LOBO (NEU WIND COMPLEX),2017-10-08,2017-10-22,821,47,2,0,0,15.0
NAPA,TUBBS (CENTRAL LNU COMPLEX),2017-10-08,2017-10-31,"36,807",0,317,1,21,24.0
SONOMA,NUNS (CENTRAL LNU COMPLEX),2017-10-09,2017-10-31,"44,573",0,172,0,3,23.0
SONOMA,ADOBE (CENTRAL LNU COMPLEX -NUNS),2017-10-08,2017-10-31,"3,700",0,0,0,0,24.0
NAPA,PARTRICK (CENTRAL LNU COMPLEX -NUNS),2017-10-08,2017-10-31,"8,283",0,0,0,0,24.0
MENDOCINO,"REDWOOD VALLEY
(MENDOCINO LAKE COMPLEX)",2017-10-08,2017-10-26,"36,523",543,41,0,9,19.0
MARIN,THIRTY SEVEN,2017-10-09,2017-10-12,"1,660",3,1,0,0,4.0
BUTTE,LA PORTE (NEU WIND COMPLEX),2017-10-09,2017-10-20,"6,151",74,2,0,0,12.0
ORANGE,CANYON 2,2017-10-09,2017-10-17,"9,217",25,55,0,0,9.0
NAPA,ATLAS (SOUTHERN LNU COMPLEX),2017-10-09,2017-10-28,"51,624",783,120,0,6,20.0
LAKE,"SULPHUR
(MENDOCINO LAKE COMPLEX)",2017-10-09,2017-10-26,"2,207",162,8,0,0,18.0
SONOMA,POCKET 2 (CENTRAL LNU COMPLEX),2017-10-09,2017-10-31,"17,357",6,2,0,0,23.0
SANTA CRUZ,BEAR,2017-10-16,2017-10-29,391,6,0,0,0,14.0
"VENTURA/SANTA
BARBARA",THOMAS,2017-12-04,2018-01-12,"281,893",0,274,1,1,40.0
LOS ANGELES,CREEK,2017-12-05,2017-12-29,"15,619",123,81,0,0,25.0
LOS ANGELES,RYE,2017-12-05,2017-12-15,"6,049",6,3,0,0,11.0
SAN DIEGO,LILAC 5,2017-12-07,2017-12-16,"4,088",157,64,0,0,10.0
,,,,"776,337",0,0,2,44,
MODOC,WEST,2017-04-01,2017-04-01,401,0,0,0,0,1.0
SAN DIEGO,DELUZ,2017-05-19,2017-05-22,486,0,0,0,0,4.0
MONTEREY,RANGE,2017-06-04,2017-06-11,"1,972",0,0,0,0,8.0
KERN,HIGHWAY,2017-06-21,2017-06-25,"1,522",0,0,0,0,5.0
SAN BERNARDINO,HOLCOMB,2017-06-21,2017-06-29,"1,503",0,0,0,0,9.0
TULARE,SCHAEFFER,2017-06-24,2017-08-05,"16,031",0,0,0,0,43.0
SAN BERNARDINO,MART,2017-06-27,2017-07-01,670,0,0,0,0,5.0
MODOC,BATTLE,2017-06-28,2017-07-01,640,0,0,0,0,4.0
SAN DIEGO,CRISTIANITOS,2017-06-28,2017-07-01,761,0,0,0,0,4.0
KERN,QUIAL COMPLEX,2017-07-06,2017-07-06,"1,626",0,0,0,0,1.0
SANTA BARBARA,WHITTIER,2017-07-08,2017-10-05,"18,430",40,7,0,0,90.0
NEVADA,FARAD,2017-07-10,2017-07-16,747,0,0,0,0,7.0
LASSEN,LONG VALLEY,2017-07-11,2017-07-25,"83,733",8,3,0,0,15.0
MODOC,DOBE,2017-07-13,2017-07-31,410,0,0,0,0,19.0
KERN,HUDSON,2017-07-18,2017-07-18,"1,083",0,0,0,0,1.0
SISKIYOU,MARBLE,2017-07-19,2017-07-28,319,0,0,0,0,10.0
MODOC,MODOC JULY COMPLEX,2017-07-24,2017-08-13,"83,120",0,0,0,0,21.0
SISKIYOU,ORLEANS COMPLEX,2017-07-25,2017-10-12,"27,276",0,0,0,0,80.0
WASHOE,R-21,2017-07-26,2017-07-27,589,0,0,0,0,2.0
PLUMAS,MINERVA 5,2017-07-29,2017-08-16,"4,310",0,0,0,0,19.0
KERN,GARDEN,2017-07-30,2017-08-09,450,0,0,0,0,11.0
MONO,GRANT,2017-07-31,2017-08-03,400,0,0,0,0,4.0
TUOLUMNE,SUMMIT COMPLEX,2017-07-31,2017-11-30,"5,248",0,0,0,0,123.0
MARIPOSA,EMPIRE,2017-08-01,2017-10-31,"6,370",0,0,0,0,92.0
SAN LUIS OBISPO,RED,2017-08-02,2017-08-03,450,0,0,0,0,2.0
MODOC,PARKER 2,2017-08-03,2017-08-14,"7,697",1,0,0,0,12.0
TULARE,INDIAN,2017-08-03,2017-08-29,"2,295",0,0,0,0,27.0
