County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration
SHASTA,MCFARLAND,2021-07-29,2021-09-09,"122,653",46,1,0,0,43
TRINITY,MONUMENT,2021-07-30,2021-11-01,"223,124",28,2,0,0,95
LOS ANGELES,HUNGRY,2021-07-31,2021-08-02,364,0,0,0,0,3
TUOLUMNE,TILTILL,2021-07-31,2021-10-22,"2,350",0,0,0,0,84
SISKIYOU,MCCASH,2021-07-31,2021-10-31,"94,962",0,0,0,0,93
SISKIYOU,ANTELOPE,2021-08-01,2021-10-13,"145,632",20,4,0,0,74
SISKIYOU,RIVER COMPLEX,2021-07-30,2021-11-01,"199,359",122,2,0,0,95
EL DORADO,CALDOR,2021-08-14,2021-10-21,"221,835",0,81,0,0,69
TULARE,WALKERS,2021-08-15,2021-10-02,"8,777",0,0,0,0,49
KERN,FRENCH,2021-08-18,2021-10-20,"26,535",49,6,0,0,64
RIVERSIDE,CHAPARRAL,2021-08-28,2021-09-08,"1,427",3,2,0,0,12
HUMBOLDT,KNOB,2021-08-29,2021-09-12,"2,421",0,0,0,0,15
SAN BERNARDINO,POND,2021-08-30,2021-09-04,491,0,0,0,0,6
TULARE,WINDY,2021-09-09,2021-11-11,"97,528",21,0,0,0,64
LOS ANGELES,ROUTE,2021-09-11,2021-09-17,464,0,0,0,0,7
TULARE,"KNP
COMPLEX",2021-09-11,2021-12-17,"88,307",4,1,0,0,98
SANTA BARBARA,ALISAL,2021-10-11,2021-11-21,"16,970",12,1,0,0,42
PLACER,AMORUSO,2020-06-01,2020-06-01,670,0,0,0,0,1
SOLANO,QUAIL,2020-06-06,2020-06-13,"1,837",5,12,0,0,8
SAN LUIS OBISPO,SODA,2020-06-10,2020-06-10,"1,680",0,0,0,0,1
VENTURA,ELIZABETH,2020-06-10,2020-06-12,300,0,0,0,0,3
VENTURA,LIME,2020-06-10,2020-06-16,803,0,0,0,0,7
SACRAMENTO,GRANT,2020-06-12,2020-06-19,"5,042",0,1,0,0,8
SANTA BARBARA,DRUM,2020-06-14,2020-06-17,696,0,0,0,0,4
FRESNO,EAGLE,2020-06-15,2020-06-13,300,0,0,0,0,-1
SAN LUIS OBISPO,AVILA,2020-06-15,2020-06-20,445,0,1,0,0,6
SAN BENITO,BITTER,2020-06-16,2020-06-20,813,0,0,0,0,5
CALAVERAS,WALKER,2020-06-16,2020-06-21,"1,455",2,2,0,0,6
MONTEREY,RICO,2020-06-22,2020-06-23,348,0,0,0,0,2
TULARE,GRADE,2020-06-22,2020-06-25,"1,050",0,0,0,0,4
MERCED,PASS,2020-06-28,2020-06-30,"2,192",0,0,0,0,3
KERN,BENA,2020-07-01,2020-07-05,"4,000",0,0,0,0,5
MADERA,BONADELLE,2020-07-02,2020-07-03,500,0,0,0,0,2
SANTA CLARA,PARK,2020-07-04,2020-07-08,353,0,0,0,0,5
SAN LUIS OBISPO,LAKE,2020-07-04,2020-07-05,583,1,0,0,0,2
LOS ANGELES,SOLEDAD,2020-07-05,2020-07-06,"1,525",0,0,0,0,2
SANTA CLARA,CREWS,2020-07-05,2020-07-20,"5,513",4,0,0,0,16
FRESNO,MINERAL,2020-07-13,2020-07-26,"29,667",7,0,0,0,14
SAN BENITO,COYOTE,2020-07-15,2020-07-18,"1,485",1,0,0,0,4
LASSEN,HOG,2020-07-18,2020-08-28,"9,564",2,0,0,0,42
SISKIYOU,BADGER,2020-07-18,2020-07-28,557,0,0,0,0,11
SHASTA,PLATINA,2020-07-19,2020-07-27,333,0,0,0,0,9
LASSEN,GOLD,2020-07-20,2020-09-29,"22,614",13,5,0,0,72
FRESNO,WILD,2020-07-25,2020-07-25,"1,040",0,0,0,0,1
LOS ANGELES,RIDGE,2020-07-27,2020-07-27,321,0,0,0,0,1
MERCED,COTTONWOOD,2020-07-27,2020-07-29,788,0,0,0,0,3
SAN LUIS OBISPO,BRANCH,2020-07-28,2020-08-03,"3,222",8,0,0,0,7
SACRAMENTO,CLAY,2020-07-29,2020-07-29,741,0,0,0,0,1
FRESNO,LINCOLN,2020-07-29,2020-07-29,640,0,0,0,0,1
RIVERSIDE,APPLE,2020-07-31,2020-11-18,"33,424",13,6,0,0,111
SAN LUIS OBISPO,POND,2020-08-01,2020-08-09,"2,005",4,1,0,0,9
COLUSA,SITES,2020-08-02,2020-08-06,560,1,1,0,0,5
SAN LUIS OBISPO,PASS,2020-08-04,2020-08-05,322,0,0,0,0,2
SACRAMENTO,MEISS,2020-08-13,2020-08-15,512,0,0,0,0,3
