COUNTY_NAME,FIRE_NAME,fire_count
Humboldt,"WILDCAT 1-51, HOUSE, SUMMIT, SYLVANDALE, BRIDGE, TIERNEY, MILL CREEK 4, IAQUA, MATTOLE, KNOB, MCCOVEY, HELL'S HALF, SWAY, REDCREST 2, CANYON, OVERLOOK, BLOCKSBURG, BUSHNELL, BALDY, EAST, WINCHESTER 1-47, RED SALMON COMPLEX, CORRAL, MCLELLON, SPANISH, CHANCE, SIGNBOARD, AMMON, PRATT, ARROW COMPLEX, STEELHEAD 1-54, POTATO, FRENCH, RANCH, SCHOOL, PACKSADDLE, DOBBYN 1-57, PECWAN, BLOCKSBURG 1-58, PANTHER, COLONY, DANCE, TULLEY, AHPAH, DEER HORN 2, LARABEE 3, JONES POINT, BALD FIRE, PARADISE, HIGH, BUCKEYE, GROVES, BUCK, GRAPE, MILLER, BLAKE, MINE, BUCK FIRE, HAPPY, IAGUA, MILL CREEK 1, BEAR, MP 21, LASSICS, SADDLE, GOODMAN, LITTLE, NICKOWITZ, YAGER, RIVER, STAFFORD, BROWN, BALD HILL 3, COOSKIE, HARRIS, CARSON, HORSE FIRE, CAMPBELL, SNOW, TALL, SAW, LT-17(BACKBONE), BUTLER, JOHNSON, BIG BAR, REDSPOT, BENNETT, REDWOOD, BLUE, QUEEN, RED, PINE 1-44, KNEELAND, STEWART, BAY, MOUNTAIN, VALLEY",108
Imperial,"MIDWAY, ELLIOT, MONTGOMERY, DESERT, YUHA, POWER, BORDER 12, MINERAL, ALAMO, LAGUNA, HIGHLINE, MOUNTAIN, ALL AMERICAN, BRUCHARD, MYER, DUNHAM",19
Inyo,"HORSESHOE, ALABAMA, ABERDEEN, GREAT, CALVERT, FORKS, TRAVERTINE, SPRINGS, GLACIER NORTH, TECOPA, ASH, DIAZ, BLACKJACK, ONION, MOFFAT, FORT, LONE PINE, BUTTERMILK, AIRPORT, WINTERTON, NADEAU, SOUTH, SAND 2, TABOOSE, SOTTY'S, PASS, SPANISH TRAIL, PINE, BIG TREES, CENTER, SPRING, BUCKLEY, BRIDGES, INYO CREEK, GEORGES, WILLOW, PLEASANT, SPOOK, ROUND, FAIRVIEW, JOHN, CHIMNEY, GOODALE, HONEY BEE, RIVER, CRYSTAL, FISH, CLOVER, BLUFF, KEOUGH",52
Kern,"ROSAMOND, SOLEDAD, BOREL, HARTINC, COPUS, WOFFORD, TULE, ENTRANCE, DERBY, CHAMPAGNE, STUBBLE, BLACK, LEBEC, BEALE, CREEK, CAMERON, CHINA COMPLEX, SWITCH, FARM, COW, WOOLSTAFF, KNOB, CHINA, ERSKINE, STINE, HUNGRY, SODA, FARM 2, PURPLE, GRANITE, RIDGE, WELDON, CANYON, DIRT, CALGARY, LAKEWOOD, CANE, LOST HILLS, ANTELOPE, RANGE, FRONTIER, POSO, KERTO, UPLAND, GARDEN, CHESTER EXT, 58 COMPLEX, FLAT, WILLOW, KEENE, HUDSON, PEAK, IKEA, RESERVE, VINE, EDISON, DOYLE, AROSA, JACK, SAND, PRESERVE, GRAPEVINE, CANAL, EMIGDIO, BACKUS, VISTA, ISABELLA, BENA, PARKWAY, METSON, KING, 155 FIRE, HIGHWAY, NINE, ROOST, DRY, DEER, TUCKER, FOREST, PYRAMID, FRANK, GULTCH, SOUTH FORK, TWINS, RAIL, FAY, BAKER, RANCHERIA, SCRAPER, BELL, TANK, BOAT, BODFISH, RIO, QUAIL, LERDO, GENERAL, SOUTH, OUTLET, TARINA, TEJON, HART, RANCHO, FRENCH, FRAZIER 1, RANCH, SCHOOL, THUNDER, UMTALI, OWL, EVANS, CAMP 9, DUTCH, CONDOR, CENTER, SCALES, FEED, SLUMP, MID, JAWBONE COMPLEX, INDIAN, BRECKENRIDGE COMPLEX, APPLE, OAK, RIVER_7, CAMELOT, KEYSTONE, REED, BASE, CATTLE, NORTH, WOFFORD COMPLEX, HAWK, PERRY, AQUADUCT, ERIC, MERCED, CALIENTE, MESA, POLELINE, KECKS, YORK, BULL, POST, WILDLIFE, TEXCO, HERMOSA, LULU, ANNETTE, HARPER, CUMMINGS, SHERWOOD, DUMP, FREEWAY, BITTER, GROVE, PEPPER, KECK, ADOBE, TRAIL, WAY, CARBINE, GRAPE, HUB, BACK, FORT, MANOR, ELK, TUNNEL, REFUGE, PRISON, CARNATION, BRANDY, SAND 2, CROSS, SPLIT, SYCAMORE, Backus 2, STANDARD, HANNING, WOLVES, PARK, PASADENA, CAMPGROUND, TOWERLINE, JAWBONE 2, PASS, QUINN, COVE, WHITE, PINE, ELK 2, GRANITE INC, BEAR, CRANE, VULCAN, KEM, PINEY, HISTORY, TOWN, HILL NORTH DIVISION, SHELL, PLANT, ROCKY, WATER, OAKS, HAVILAH 2, OIL, COWBOY, COLE, CLEAR, WILLIAMS, JUMPER, SABODAN, HIGHWAY 178, ROUND, BASKET, PIUTE, OILFIELD, GRAPEVINE-08, CORCARAN, BOULDER2, HILLS, HEALD, BROOME, CEDAR, SPILLWAY, RIVER, WALKER, UNKNOWN, STOCKDALE, SIERRA, KENDON, EDMONSON, CHOCTAW, MING, SALT, LAVAL, BASIC, WOODY, HARRIS, BARREL, CORTEZ, WOLF, LOOP, TUPMAN, HILL, PHILLIPS, WEST, CORCORAN, OILFIELD INC, 178, OWENS, GARCES, LAKE, AIRPORT, LIGHTNING, NICOLLS, CANEBREAK, ROW, GRAND, COMANCHE, CURVE, JACKS, LANCER, JOHNSON, HOOPER, SHIRLEY, STAGE, FARMER, ONYX, LILAC, RICHBAR, SILVER QUEEN, EDMONSTON, BLUE, STATION, SHEEP, LAND, OLD, NATIONAL, VIEW, STAGECOACH, CALL, CALDWELL, 65, RESOURCE, EXTENSION INC, TENANT, SKYLINE, MOUNTAIN, BOONE, GULCH, MIDOLI 2, KEY, HILL CREST, BRECKENRIDGE, ROBERTS, YANKEE",422
Kings,"DEVIL, REEF, AQUEDUCT, KETTLE, TAR, DEN, CITY, PYRAMID, AVENAL, YORK, GARZA, TURKEY, UTICA",16
Lake,"SUMMIT, AUGUST COMPLEX, JERUSALEM, MOUNT, STUBBS, GEORGE, COW, BOARDMAN 2, NORTH BRANCH, BLUE LAKES, RIDGE, CANYON, GLASS, CATHOLIC, HIGHLAND, MOCKINGBIRD, TWENTY_NINE, TWENTY, DIMOND, OASIS, SKY, DEER, KELSEY, MURPHY, CROCKETT, SCOTTS, LAKESHORE, BIG, SALMON, GADDY, HIGH GLADE, DAM, GREEN, RANCH, LAKE VIEW, INDIAN, BUTTS, OAK, LYONS, EAGLE, DOUBLE, HENNESSEY, SULPHER, 3-19, PLYE, SKELETON, BECKS, WYE, GRADE, KUGELMAN, BACK, ANDERSON, ELK, SMITH, SARATOGA, SULPHUR, ROCKY, MILL, MULE, RESERVOIR, RIVER, WALKER, MUSTANG, PAWNEE, SPRING 2, CLAYTON, HILL, BRIM, BOTTLE, KINCADE, LUCERNE, OAT, CLUB, CARDER, FOOTHILL, PETERSON, BACHELOR, SLIDE, CANTWELL, RED, CERRITO, CACHE, 17-7, VALLEY",96
Lassen,"RED ROCK, R-5 DRY, W-4 TERMO, R-1 ROCK, R-4 RANCH, POSLIN, WHALEBACK, 3-18 SNAG, RUSH, R-5 STONEY, R-9 SHINN, SUGAR, R-1 RYE, SUNNYSIDE, R4 RAILROAD, VIEWLAND, LAURA 2, ANTELOPE, R-6 TUNNISON, PEG, R-5 SNOWSTORM, WILLOW, FLAT, GOLD, R-1 MAPES, W-5 COLD SPRINGS, R-3 SKEDDADLE, R-3 LITTLE FREDOYNER, R-1 PIT, SPANISH, S1 DUCK, ROXIE, 3-8 DIXON, R-2 TRUMBULL, W-1 MCDONALD, CORRAL FIRE, PAINTERS, HOLBROOK 2, DIXIE, LIKLEY, CHENEY, BUTTE, R2 RAVEN, R-3 MUD, CONSTANTIA, 3-13 MUCK, NORTH, R-8 PINECODE, DRY VALLEY, R3 RYE PATCH, R-10 PAINTER, R6 CREEK, CONSTANIA, R1 JUNIPER, PIT, RAILROAD, R2 SNOWSTORM, HYATT, LONG VALLEY, PRISON, MUD, CHERRY, R-4 PARSNIP, CLARKS, COYOTE, SNOWSTORM, COPPER, CHICKEN, ADAMS, STONE, HERLONG, TERMO, TUMBLEWEED, ROUND, DAY, R1 RANCH, SHINN, MARR, R-2 BUTTE WELL, LOYALTON, RIVER, R-3 VINCENT, 1-4 BIZZ, S2 COAL, DEPOT, RUSSELL COMPLEX, RICE, HORSE, 3-10 VALLEY, HILL, WEST, WILLARD, R-2 SCHAFFER, SHAFFER, MCDONALD, HORN, DOW, PETERSON, DODGE, MENDIBOUREAU, SHEEP, WOOD, BALD, RED, BECKWOURTH LIGHTNING COMPLEX, HOG, DUNE, R-9 FREDONYER, R-5 SPANISH, 3-16 PIT, MORGAN, DOCKERY, BACCARAT",123
Los Angeles,"SHOEMAKER, PACIFICO, BARN, LOWE, CREEK, SAYRE, PALMS, MARPLE, WINERY, RIDGE, MEDLEY, ECHO LAKE, WAYSIDE, RANGE, EAST, WOOLSEY, FIVE MILE FIRE, MALIBU, CALGROVE FIRE, SYCAMORE FIRE, OSITA, MAREK, MESAVIEW, PEAR, WAYSIDE FIRE, CASTRO, POPPY, HOLSER, ANTONIO, LOBO, CROSSOVER, ROCK POOL, OAK, PAINT, TOVEY FIRE, MARTINDALE, PARADISE, OLIVE, TURNBULL, KAGEL FIRE, PANORAMA, POLE, MT ST MARYS, MESA FIRE, RAMP, SYCAMORE, MADISON, LEONARDO, AGOURA, VIRGENES, COYOTE, WILSON, LAS VIRGENES, MUREAU, MINT, MADRE, SESNON, TUMBLEWEED, PALISADES, PARKMOR, TEMESCAL, SIERRA, ESCORT, PLACERITA, SESNON FIRE, BARREL, REMSEN, TAMPA, BOUQUET, WEST, LIGHTNING, LAKE, RIDGE FIRE, CORNELL, OCEAN VIEW, LOST, HOLLYWOOD HILLS, LIBERTY FIRE, MAGIC, STATION, DEL, VIEW, TONNER, GOLF, CABIN, BEE, FLORES, HOPPER, LA TUNA, RIVERBED, DIAMOND, SOLEDAD, SAGE FIRE, BRIDGE, FIVE, BARNES FIRE, ESCONDIDO FIRE, SANTA ANITA, VINCENT, TRIUNFO, COPCO FIRE, ALISO FIRE, WELDON, OLD TOPANGA, MARSHALL, BANNING, TUNA, FOOSE, ACTON, RODEO, VIEW RIDGE, PERKINS, TOWSLEY, PEAK, OLIVEVIEW, FISH, SAND, TICK, BROWNS, KNOLLS, G, PYRAMID, BOAT, EE RANCH, SPUNKY, DUME, OASIS FIRE, HEFFNER, RANCH, NEWHALL  FIRE, COLBY, TIERRA, PLEASANT, PACIFICA, HACIENDA, ROCKY 3, LARGOVISTA, DALTON, NEWELL FIRE, GROVE, PELONA, WAVE, ESCONDIDO, WIND, COPCO, OAKMONT, TOWNSEND, CHERRY, MULHOLLAND, ISLAND, PINE, SHOOTING, LIEBRE, DULCE, 3 POINTS, VANTAGE POINTE FIRE, PIUMA, DOMINICA, SWEETWATER, LAGO, STEELE, GRAVE, AGUA, MALIBU BEACH, DEERVALE, BOBCAT, STRIKE, EMMA, VASQUEZ, FAIRMONT, BLUE, SAN DIMAS, RINCON, WESTLAKE  FIRE, JOHNSON FIRE, GULCH, SOLEDAD  FIRE, BLUFF, CALABASAS, PINE  FIRE, RAYBURN, SKIRBALL, TOPANGA CYN, RAMBLA, FORK, LIBERTY CANYON, GORMAN FIRE, SEPULVEDA PASS, HUNGRY, BIGHORN, CHESEBORO, TEXAS, OSITO, TETON, VISTA, HIGHWAY, TYLER, SPRINGS, PINES, OAKWILDE, SADDLE RIDGE, WAGON, GAVINA, GORMAN, SOUTH, TEJON, SMOKEY, LEONA, GLENDORA, TUJUNGA, STATE PARK, VALLEY CIRCLE, TOPANGA FIRE, VANTAGE, STEEP, MENDENHALL, NORTH, 210TH, CEMENT FIRE, MESA, WHEATLAND, SANTA MARIA, MARTINEZ, COLIMA, FREEWAY, SERRA, TREE FIRE, TOPANGA 2, CHARLIE, ROWHER, QUEENS, SKYVIEW, ENCINAL, PARK, NEWHALL, MESSENGER, 118 FWY, NEWTON, CROWN, STONE, D, WILLIAMS, HASLEY, ELSMERE, WARM, MUNZ, JOHNSON, ZEBRA, MAY, OLD, RUSTIC, PICO, EQUESTRIAN, VALLEY, CUT OFF, MARTINEZ FIRE, SAM, PV, NEENACH, GRAND VIEW, 92ND, GOLDEN, COLTRANE, NO NAME, MIDDLE, CANYON, COUNTRY CLUB, SLOAN, HASKELL, GETTY, GLADDING, HIGHLAND, ROMDELL, STORRS, STOKES, HILLSIDE FIRE, GILLETTE, TECOLOTE, OASIS, HUGHES, FOUR BAY, TERREBONNE, MURPHY, QUAIL, DAM, PALM, COMMERCE, MORRIS, DALE FIRE, OAK FIRE, PALISADES 2, TOPANGA, CLARITA, KELLOGG, SUN, INDIA, LINCOLN, BRIGGS, RYE, CASTLE ROCK FIRE, BARHAM, BROOK, WESTLAKE, GRIFFITH PARK, KANAN, HILLSIDE, LANCASTER, COLINA, LOWRIDGE, LAKE 2, POWERHOUSE, RESERVOIR, SEPULVEDA, CASTAIC, LATIGO 2, RIVER, GABRIEL, BURRO, SAN, SPRINGS FIRE, TAPIA, HILL, TRANCAS, AIRPORT, EMIGRANT, CROSSROADS FIRE, CALGROVE, LAMBERT, BIGROCK, PALERMO, SHEEP, CHARLTON, RANCH2, SKYLINE, ROUTE, LIMA",440
Madera,"BOWLER, RAILROAD, BUCKHORN, SERPA, SUMMIT, SKY, ROLLING, FORK, TRIPEL, ONEALS, SOUTH FORK, ROYAL, BUCK, PUMICE, FULLER, CREEK, COW, CHINA, CHIQUITO, LOST, BUENA VISTA, WASHBURN, OAKWOOD, FRENCH, CORRINE, ROAD 600, JOHNSON, LAKES, HENSLEY, SPRING, QUARTZ, BILEDO, BUTTE, MANZANITA, LIONS, RED, CASCADEL, COURTNEY FIRE, OAK, 41 FIRE, MISSION, WILLOW, MINNOW, MILLERTON, GOLD, POWER, JUNCTION FIRE, STAR, GRUB, EASTMAM, COLD, RIVER, FISH, ASPEN, BROKEN, LYELL, MORAINE",61
Marin,"PT REYES, RING MOUNTAIN, BEACH FIRE, POPLAR, YATES, MARTINONI, ANGEL ISLAND FIRE, MESA WATERTANK, ANTONIO, ISLAND, A RANCH, INDIAN CLOVER, BOBCAT, PINE, SPALLETTA, VISION, PELICAN, REDWOOD, VISTA, COAST, WOODWARD, BOLIANS COAST GUARD, NORTH BEACH 1, NORTH BEACH 2, DEVILS GULCH, SPIRIT, MUIR 2, HAWK, DRAKE 2, PIERCE, FIELD, LIMANTOUR, SHORELINE",34
