Year,County,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration,Unique_Fire_Days,Total_Fires
2012,LAKE,12751,11,2,0,0,22,19,4
2012,LASSEN,282918,0,1,0,0,34,34,3
2012,LOS ANGELES,4717,0,0,0,0,12,12,2
2012,MARIPOSA,3725,0,0,0,0,170,170,3
2012,MENDOCINO,42366,26,4,0,0,33,33,2
2012,MERCED,434,0,0,0,0,1,1,1
2012,MODOC,44373,3,0,0,0,38,24,4
2012,MONO,12574,0,0,0,0,8,8,1
2012,MONTEREY,2529,0,0,0,0,2,2,1
2012,PLACER,2650,8,0,0,0,11,11,1
2012,PLUMAS,76017,9,0,0,0,39,34,2
2012,RIVERSIDE,7434,8,0,0,0,21,18,7
2012,SAN BERNARDINO,335,1,0,0,0,2,2,1
2012,SAN DIEGO,33705,41,2,0,0,27,27,5
2012,SAN LUIS OBISPO,640,0,0,0,0,3,3,1
2012,SHASTA,77703,3,5,0,0,75,58,6
2012,SISKIYOU,23971,0,0,0,0,42,39,2
2012,TEHAMA,29617,133,6,0,0,28,22,3
2012,TRINITY,6095,0,0,0,0,16,16,2
2012,TULARE,1707,0,0,0,0,15,15,1
2012,TUOLUMNE,840,1,0,0,0,2,2,1
2012,VENTURA,1050,0,0,0,0,7,7,2
2012,YOLO,520,0,0,0,0,4,4,1
2013,BUTTE,2569,62,6,0,0,9,9,2
2013,CONTRA COSTA,3592,2,0,0,0,9,9,2
2013,EL DORADO,572,2,0,0,0,4,4,1
2013,FRESNO,23673,0,0,0,0,108,91,2
2013,HUMBOLDT,13080,3,0,0,0,59,59,2
2013,INYO,407,0,0,0,0,5,5,1
2013,KERN,6252,0,0,0,0,20,20,4
2013,LAKE,640,0,0,0,0,9,9,2
2013,LOS ANGELES,30986,58,4,0,0,16,16,2
2013,MADERA,480,1,0,0,0,3,3,1
2013,MARIPOSA,1708,0,0,0,0,11,11,1
2013,MENDOCINO,300,0,0,0,0,3,3,1
2013,MERCED,450,0,0,0,0,2,2,1
2013,MODOC,502,0,0,0,0,5,5,1
2013,MONTEREY,5417,38,0,0,0,9,9,2
2013,NAPA,376,0,0,0,0,2,2,1
2013,PLACER,27440,5,2,0,0,19,19,1
2013,PLUMAS,513,0,0,0,0,7,7,1
2013,RIVERSIDE,56982,74,11,0,0,168,136,7
2013,SAN BENITO,354,0,0,0,0,2,2,1
2013,SAN BERNARDINO,947,0,3,0,0,16,16,2
2013,SAN DIEGO,14441,149,10,0,0,28,24,4
2013,SAN JOAQUIN,303,0,0,0,0,1,1,1
2013,SAN LUIS OBISPO,486,0,0,0,0,4,4,1
2013,SANTA BARBARA,1984,0,1,0,0,10,10,1
2013,SHASTA,8073,196,15,0,1,7,7,1
2013,SISKIYOU,37246,0,0,0,0,63,63,1
2013,SONOMA,3505,1,0,0,0,7,7,1
2013,TEHAMA,18325,0,0,0,0,16,16,2
2013,TULARE,2060,0,0,0,0,14,14,1
2013,TUOLUMNE,258384,112,9,0,0,81,81,2
2013,VENTURA,24251,10,12,0,0,8,8,1
2014,BUTTE,878,0,0,0,0,34,34,2
2014,EL DORADO,101957,127,1,0,0,37,37,2
2014,GLENN,395,0,0,0,0,3,3,1
2014,HUMBOLDT,333,0,0,0,0,9,9,1
2014,KERN,8270,16,4,0,0,29,29,3
2014,LOS ANGELES,1952,15,8,0,0,9,9,1
2014,MADERA,14770,96,13,0,0,39,38,3
2014,MARIPOSA,11526,5,2,1,0,108,92,5
2014,MENDOCINO,12938,11,0,0,0,59,54,2
2014,MERCED,1822,0,0,0,0,12,11,3
2014,MODOC,15719,10,0,0,0,22,22,2
2014,MONTEREY,5340,0,0,0,0,5,5,2
2014,NAPA,4300,9,0,0,0,10,10,1
2014,ORANGE,985,0,0,0,0,9,9,1
2014,PLACER,459,10,0,0,0,15,15,1
2014,RIVERSIDE,350,0,0,0,0,2,2,1
2014,SAN BERNARDINO,2200,0,0,0,0,2,2,1
2014,SAN DIEGO,25826,76,6,0,0,25,10,4
2014,SANTA BARBARA,632,0,0,0,0,4,4,1
2014,SHASTA,86113,43,1,0,1,62,45,4
2014,SISKIYOU,222097,15,2,0,0,177,94,4
2014,TEHAMA,865,0,0,0,0,9,9,1
2014,TRINITY,6719,1,0,0,0,40,33,2
2014,TULARE,1612,0,0,0,0,96,96,1
2014,TUOLUMNE,402,0,0,0,0,6,6,1
2014,YOLO,6858,0,0,0,0,11,11,2
2015,ALAMEDA,2850,1,0,0,0,7,7,1
2015,AMADOR,70868,965,0,0,2,45,45,1
2015,BUTTE,2300,16,0,0,0,32,32,3
2015,DEL NORTE,37870,0,0,0,0,138,77,2
2015,FRESNO,151623,4,0,0,0,124,124,1
2015,HUMBOLDT,40558,9,0,0,0,56,33,2
2015,INYO,7000,43,5,0,0,8,8,1
2015,KERN,311,0,0,0,0,3,3,1
2015,LAKE,171521,123,101,0,4,73,67,4
2015,LASSEN,10570,0,0,0,0,15,15,1
2015,LOS ANGELES,2438,6,4,0,0,14,10,3
2015,MADERA,7122,2,0,0,0,38,31,3
2015,MARIPOSA,415,0,0,0,0,10,10,1
2015,MERCED,3742,0,0,0,0,8,8,3
2015,MODOC,4863,0,0,1,0,8,8,1
2015,MONO,4185,0,0,0,0,23,23,2
2015,MONTEREY,2618,20,1,0,0,12,12,2
2015,NAPA,8051,2,5,0,0,16,16,1
2015,NEVADA,2304,3,1,0,0,19,19,1
2015,RIVERSIDE,1549,0,0,0,0,13,13,2
2015,SACRAMENTO,357,0,0,0,0,4,4,1
2015,SAN BENITO,690,0,0,0,0,5,5,1
2015,SAN BERNARDINO,35609,27,5,0,0,24,24,2
2015,SAN DIEGO,8671,0,0,0,0,16,13,4
2015,SAN LUIS OBISPO,4237,19,3,0,0,20,20,2
2015,SISKIYOU,395,0,0,0,0,3,3,1
2015,TRINITY,182000,19,0,0,0,224,95,5
2015,TULARE,7410,0,0,0,0,50,49,2
2015,VENTURA,1288,0,0,0,0,4,4,1
2016,ALPINE,655,0,0,0,0,33,33,1
2016,BUTTE,1320,3,0,0,0,25,25,2
2016,CALAVERAS,1101,3,1,0,0,29,25,3
2016,FRESNO,15135,11,1,0,0,83,72,5
2016,HUMBOLDT,599,3,0,0,0,19,19,1
2016,INYO,369,0,0,0,0,9,9,1
2016,KERN,80891,292,12,0,2,84,58,7
