County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd
BUTTE,Frey,2008-06-21,2008-07-28,"4,000",0,0,38,0,0
PLACER,"AMERICAN RIVER
COMPLEX",2008-06-21,2008-07-30,"20,541",0,0,40,0,0
MENDOCINO,Red Mtn 1 Lightning,2008-06-21,2008-08-01,"7,515",0,0,42,0,0
HUMBOLDT,Paradise,2008-06-21,2008-08-01,"1,076",0,0,42,0,0
SHASTA,Moon,2008-06-21,2008-08-09,"6,030",0,0,50,0,0
SHASTA,Lakehead,2008-06-21,2008-08-23,"27,936",0,0,64,0,0
TRINITY,"IRON COMPLEX & ALPS
COMPLEX",2008-06-21,2008-09-09,"105,805",9,0,81,0,0
PLUMAS,CANYON COMPLEX,2008-06-21,2008-09-30,"47,680",0,0,102,0,0
TEHAMA,ANTELOPE,2008-06-22,2008-06-26,600,0,0,5,0,0
SAN MATEO,Quarry,2008-06-22,2008-06-29,300,0,0,8,0,0
SONOMA,Walker,2008-06-22,2008-06-29,"15,000",0,0,8,0,0
TEHAMA,MILL COMPLEX,2008-06-22,2008-06-29,"2,100",0,0,8,0,0
SHASTA,Venture,2008-06-22,2008-07-04,"1,912",0,0,13,0,0
LASSEN,Popcorn,2008-06-22,2008-07-08,"3,000",0,0,17,0,0
MENDOCINO,Orr Incident,2008-06-22,2008-07-10,"3,000",0,0,19,0,0
MENDOCINO,Cliff Ridge B Lightning,2008-06-22,2008-07-12,999,0,0,21,0,0
MENDOCINO,Shamrock East Lightning,2008-06-22,2008-07-12,469,0,0,21,0,0
MENDOCINO,5-8 Cliff Lightning,2008-06-22,2008-07-13,"1,000",0,0,22,0,0
SISKIYOU,"BEAR WALLOW COMPLEX
(KLAMATH THEATER)",2008-06-22,2008-09-30,"192,038",2,0,101,0,0
MADERA,Oliver / MRP 588,2008-06-23,2008-07-06,"2,789",0,0,14,0,0
LASSEN,Corral,2008-06-23,2008-07-07,"12,500",0,0,15,0,0
TEHAMA,Mill Creek,2008-06-24,2008-07-01,"13,580",0,0,8,0,0
MENDOCINO,Juan Creek Lightning,2008-06-27,2008-07-15,450,0,0,19,0,0
KERN,PIUTE,2008-06-28,2008-07-25,"37,026",0,0,28,0,0
MENDOCINO,Hardy,2008-06-30,2008-06-30,"5,581",0,0,1,0,0
TULARE,Wiggle,2008-07-01,2008-07-02,450,0,0,2,0,0
SANTA BARBARA,GAP,2008-07-01,2008-07-28,"9,443",0,0,28,0,0
LASSEN,Dixie,2008-07-02,2008-07-04,350,0,0,3,0,0
MENDOCINO,Orr Springs Rd Orr 3,2008-07-03,2008-07-03,"3,000",0,0,1,0,0
MENDOCINO,Travis 3 Lightning,2008-07-04,2008-07-04,750,0,0,1,0,0
MENDOCINO,Casoose Creek Lightning,2008-07-04,2008-07-04,550,0,0,1,0,0
MENDOCINO,Butch Lightning,2008-07-04,2008-07-04,"2,800",0,0,1,0,0
MENDOCINO,Albion Lightning,2008-07-04,2008-07-08,"3,000",0,0,5,0,0
MENDOCINO,Horse Lightning,2008-07-04,2008-07-08,"1,000",0,0,5,0,0
MENDOCINO,Lost Pipe Lightning,2008-07-04,2008-07-10,"1,200",0,0,7,0,0
MENDOCINO,Burger Ck Lightning,2008-07-04,2008-07-12,528,0,0,9,0,0
MENDOCINO,Orr Series Lightning,2008-07-04,2008-07-13,"3,000",0,0,10,0,0
MENDOCINO,Jameson Lightning,2008-07-04,2008-07-13,925,0,0,10,0,0
MENDOCINO,Montgomery Flat Lightning,2008-07-04,2008-07-15,"3,000",0,0,12,0,0
MENDOCINO,Brushy Lightning,2008-07-04,2008-07-15,391,0,0,12,0,0
MENDOCINO,Jack Smith Lightning,2008-07-04,2008-07-15,"2,000",0,0,12,0,0
MENDOCINO,Low Gap 1 Lightning,2008-07-04,2008-07-15,"1,700",0,0,12,0,0
MENDOCINO,Travis 1 Lightning,2008-07-05,2008-07-05,650,0,0,1,0,0
MENDOCINO,Alder Creek Beach Rd Man,2008-07-07,2008-07-07,"1,000",0,0,1,0,0
MADERA,Dino IC,2008-07-10,2008-07-11,800,0,0,2,0,0
FRESNO,TEHIPITE,2008-07-19,2008-11-11,"11,596",0,0,116,0,0
MADERA,Hwy 152,2008-07-21,2008-07-21,700,0,0,1,0,0
MADERA,Telegraph,2008-07-25,2008-09-15,"34,091",0,0,53,0,0
PLUMAS,RICH,2008-07-29,2008-08-10,"6,112",0,0,13,0,0
MONO,SHERWIN,2008-08-03,2008-08-08,347,0,0,6,0,0
BUTTE,Craig,2008-08-03,2008-08-11,"2,001",0,0,9,0,0
SAN BENITO,Turkey,2008-08-07,2008-08-07,400,0,0,1,0,0
BUTTE,Smokey,2008-08-13,2008-08-13,"1,324",0,0,1,0,0
BUTTE,Rim,2008-08-13,2008-08-13,"1,651",0,0,1,0,0
BUTTE,Empire,2008-08-13,2008-08-13,"2,000",0,0,1,0,0
BUTTE,Camp,2008-08-13,2008-08-13,"47,647",0,0,1,0,0
TULARE,Rodeo,2008-08-14,2008-08-14,500,0,0,1,0,0
TULARE,Elk,2008-08-14,2008-08-15,600,0,0,2,0,0
TULARE,Rodeo 2,2008-08-14,2008-08-15,500,0,0,2,0,0
SISKIYOU,SLINKARD,2008-08-17,2008-08-21,374,0,0,5,0,0
SISKIYOU,JACK,2008-08-17,2008-08-22,"6,900",0,0,6,0,0
FRESNO,Avenal,2008-08-19,2008-08-20,946,0,0,2,0,0
NEVADA,Gladding,2008-09-01,2008-09-03,"1,000",0,0,3,0,0
SHASTA,ELMORE,2008-09-07,2008-09-09,343,0,0,3,0,0
SHASTA,GULCH,2008-09-07,2008-09-11,"2,847",0,0,5,0,0
HUMBOLDT,DEERHORN,2008-09-08,2008-09-14,381,0,0,7,0,0
TULARE,HIDDEN,2008-09-10,2008-09-30,"3,668",0,0,21,0,0
SAN DIEGO,ROBLAR,2008-09-25,2008-09-29,400,0,0,5,0,0
MONTEREY,CHALK,2008-09-25,2008-10-29,"16,269",0,0,35,0,0
TUOLUMNE,DOME ROCK,2008-09-30,2008-11-15,919,0,0,47,0,0
SAN DIEGO,NOVEMBER,2008-10-08,2008-10-09,"1,400",0,0,2,0,0
SONOMA,Deer Park,2008-10-10,2008-10-14,300,0,0,5,0,0
MARIN,ANGEL,2008-10-12,2008-10-14,303,0,0,3,0,0
LOS ANGELES,MAREK,2008-10-12,2008-10-16,"4,824",0,0,5,0,0
SAN DIEGO,JULIETT,2008-10-13,2008-10-17,"4,026",0,0,5,0,0
LOS ANGELES,SESNON,2008-10-13,2008-10-18,"14,703",0,0,6,0,0
MARIPOSA,WAWONA NW,2008-10-14,2008-10-19,450,0,0,6,0,0
SAN BERNARDINO,Foxborough,2008-10-22,2008-10-22,324,0,0,1,0,0
BUTTE,Lackerman,2008-10-23,2008-10-23,"1,310",0,0,1,0,0
