County,Fire Name,Start,Contained,Acres,Duration,Total Deaths,Year,Month
SHASTA,IGO 6,2008-06-21,2008-07-24,0.0,24,0,2008,7
SHASTA,IGO 15,2008-06-21,2008-07-24,1200.0,10,0,2008,6
SHASTA,Moon,2008-06-21,2008-08-09,0.0,9,0,2008,8
MENDOCINO,Jack Smith Lightning,2008-06-21,2008-07-13,0.0,13,0,2008,7
SHASTA,Stein,2008-06-21,2008-07-07,1148.0,10,0,2008,6
HUMBOLDT,Paradise,2008-06-21,2008-08-01,0.0,1,0,2008,8
MONTEREY,BASIN COMPLEX,2008-06-21,2008-07-27,0.0,27,0,2008,7
MONTEREY,BASIN COMPLEX,2008-06-21,2008-07-27,162818.0,10,0,2008,6
SHASTA,Plantina 4,2008-06-21,2008-07-04,12980.0,10,0,2008,6
SHASTA,Plantina 4,2008-06-21,2008-07-04,0.0,4,0,2008,7
SHASTA,Stein,2008-06-21,2008-07-07,0.0,7,0,2008,7
MENDOCINO,Squaw 1 Lightning 2,2008-06-21,2008-07-13,0.0,13,0,2008,7
MENDOCINO,Squaw 1 Lightning 2,2008-06-21,2008-07-13,3000.0,10,0,2008,6
MENDOCINO,Red Mtn 1 Lightning,2008-06-21,2008-08-01,15030.0,10,0,2008,6
MENDOCINO,Red Mtn 1 Lightning,2008-06-21,2008-08-01,0.0,31,0,2008,7
MENDOCINO,Red Mtn 1 Lightning,2008-06-21,2008-08-01,0.0,1,0,2008,8
SHASTA,Whitmore Rd/Old Cow C2,2008-06-21,2008-07-15,2054.0,10,0,2008,6
SHASTA,Whitmore Rd/Old Cow C2,2008-06-21,2008-07-15,0.0,15,0,2008,7
MARIPOSA,SILVER KNOB,2008-06-21,2008-07-02,1161.0,10,0,2008,6
MARIPOSA,SILVER KNOB,2008-06-21,2008-07-02,0.0,2,0,2008,7
LAKE,SODA COMPLEX,2008-06-21,2008-07-26,8632.0,10,0,2008,6
PLACER,"AMERICAN RIVER
COMPLEX",2008-06-21,2008-07-30,0.0,30,0,2008,7
PLACER,"AMERICAN RIVER
COMPLEX",2008-06-21,2008-07-30,20541.0,10,0,2008,6
LAKE,SODA COMPLEX,2008-06-21,2008-07-26,0.0,26,0,2008,7
SHASTA,STA 57 ONO CDF IGO 2,2008-06-21,2008-07-24,4000.0,10,0,2008,6
SHASTA,STA 57 ONO CDF IGO 2,2008-06-21,2008-07-24,0.0,24,0,2008,7
YUBA,YUBA RIVER COMPLEX,2008-06-21,2008-07-15,4254.0,10,0,2008,6
YUBA,YUBA RIVER COMPLEX,2008-06-21,2008-07-15,0.0,15,0,2008,7
HUMBOLDT,Paradise,2008-06-21,2008-08-01,0.0,31,0,2008,7
HUMBOLDT,Paradise,2008-06-21,2008-08-01,2152.0,10,0,2008,6
LASSEN,CUB COMPLEX,2008-06-21,2008-07-20,19718.0,10,0,2008,6
SHASTA,PETERSON COMPLEX,2008-06-21,2008-07-02,7842.0,10,0,2008,6
MENDOCINO,Oso Lightning,2008-06-21,2008-07-13,373.0,10,0,2008,6
TUOLUMNE,NORTH MOUNTAIN,2008-06-21,2008-07-03,0.0,3,0,2008,7
MENDOCINO,Oso Lightning,2008-06-21,2008-07-13,0.0,13,0,2008,7
TUOLUMNE,NORTH MOUNTAIN,2008-06-21,2008-07-03,2889.0,10,0,2008,6
SHASTA,PETERSON COMPLEX,2008-06-21,2008-07-02,0.0,2,0,2008,7
MENDOCINO,Orr Incident,2008-06-22,2008-07-10,0.0,10,0,2008,7
MENDOCINO,Orr Incident,2008-06-22,2008-07-10,3000.0,9,0,2008,6
LASSEN,Popcorn,2008-06-22,2008-07-08,0.0,8,0,2008,7
LASSEN,Popcorn,2008-06-22,2008-07-08,3000.0,9,0,2008,6
MENDOCINO,Shamrock East Lightning,2008-06-22,2008-07-12,0.0,12,0,2008,7
SISKIYOU,"BEAR WALLOW COMPLEX
(KLAMATH THEATER)",2008-06-22,2008-09-30,576114.0,9,6,2008,6
MENDOCINO,Shamrock East Lightning,2008-06-22,2008-07-12,469.0,9,0,2008,6
SISKIYOU,"BEAR WALLOW COMPLEX
(KLAMATH THEATER)",2008-06-22,2008-09-30,0.0,31,0,2008,7
SISKIYOU,"BEAR WALLOW COMPLEX
(KLAMATH THEATER)",2008-06-22,2008-09-30,0.0,31,0,2008,8
SISKIYOU,"BEAR WALLOW COMPLEX
(KLAMATH THEATER)",2008-06-22,2008-09-30,0.0,30,0,2008,9
MENDOCINO,5-8 Cliff Lightning,2008-06-22,2008-07-13,0.0,13,0,2008,7
MENDOCINO,Cliff Ridge B Lightning,2008-06-22,2008-07-12,999.0,9,0,2008,6
MENDOCINO,Cliff Ridge B Lightning,2008-06-22,2008-07-12,0.0,12,0,2008,7
MENDOCINO,5-8 Cliff Lightning,2008-06-22,2008-07-13,1000.0,9,0,2008,6
SHASTA,Venture,2008-06-22,2008-07-04,0.0,4,0,2008,7
SHASTA,Venture,2008-06-22,2008-07-04,1912.0,9,0,2008,6
LASSEN,Corral,2008-06-23,2008-07-07,0.0,7,0,2008,7
LASSEN,Corral,2008-06-23,2008-07-07,12500.0,8,0,2008,6
MADERA,Oliver / MRP 588,2008-06-23,2008-07-06,2789.0,8,0,2008,6
MADERA,Oliver / MRP 588,2008-06-23,2008-07-06,0.0,6,0,2008,7
TEHAMA,Mill Creek,2008-06-24,2008-07-01,0.0,1,0,2008,7
TEHAMA,Mill Creek,2008-06-24,2008-07-01,13580.0,7,0,2008,6
MENDOCINO,Juan Creek Lightning,2008-06-27,2008-07-15,450.0,4,0,2008,6
MENDOCINO,Juan Creek Lightning,2008-06-27,2008-07-15,0.0,15,0,2008,7
KERN,PIUTE,2008-06-28,2008-07-25,0.0,25,0,2008,7
KERN,PIUTE,2008-06-28,2008-07-25,37026.0,3,0,2008,6
FRESNO,TEHIPITE,2008-07-19,2008-11-11,0.0,31,0,2008,8
FRESNO,TEHIPITE,2008-07-19,2008-11-11,0.0,30,0,2008,9
FRESNO,TEHIPITE,2008-07-19,2008-11-11,46384.0,13,0,2008,7
FRESNO,TEHIPITE,2008-07-19,2008-11-11,0.0,31,0,2008,10
FRESNO,TEHIPITE,2008-07-19,2008-11-11,0.0,11,0,2008,11
MADERA,Telegraph,2008-07-25,2008-09-15,68182.0,7,0,2008,7
MADERA,Telegraph,2008-07-25,2008-09-15,0.0,15,0,2008,9
MADERA,Telegraph,2008-07-25,2008-09-15,0.0,31,0,2008,8
PLUMAS,RICH,2008-07-29,2008-08-10,6112.0,3,0,2008,7
PLUMAS,RICH,2008-07-29,2008-08-10,0.0,10,0,2008,8
MONTEREY,CHALK,2008-09-25,2008-10-29,16269.0,6,0,2008,9
MONTEREY,CHALK,2008-09-25,2008-10-29,0.0,29,0,2008,10
TUOLUMNE,DOME ROCK,2008-09-30,2008-11-15,0.0,31,0,2008,10
TUOLUMNE,DOME ROCK,2008-09-30,2008-11-15,0.0,15,0,2008,11
TUOLUMNE,DOME ROCK,2008-09-30,2008-11-15,1838.0,1,0,2008,9
RIVERSIDE,LOST HORSE,2009-05-24,2009-06-02,0.0,2,0,2009,6
RIVERSIDE,LOST HORSE,2009-05-24,2009-06-02,450.0,8,0,2009,5
MARIPOSA,GROUSE,2009-05-30,2009-08-12,0.0,12,0,2009,8
MARIPOSA,GROUSE,2009-05-30,2009-08-12,0.0,30,0,2009,6
MARIPOSA,GROUSE,2009-05-30,2009-08-12,9021.0,2,0,2009,5
MARIPOSA,GROUSE,2009-05-30,2009-08-12,0.0,31,0,2009,7
TUOLUMNE,HARDEN,2009-06-08,2009-08-09,0.0,9,0,2009,8
TUOLUMNE,HARDEN,2009-06-08,2009-08-09,0.0,31,0,2009,7
TUOLUMNE,HARDEN,2009-06-08,2009-08-09,3308.0,23,0,2009,6
TULARE,SHOTGUN,2009-06-17,2009-07-11,0.0,11,0,2009,7
TULARE,SHOTGUN,2009-06-17,2009-07-11,900.0,14,0,2009,6
YOLO,Rumsey,2009-06-29,2009-07-02,0.0,2,0,2009,7
YOLO,Rumsey,2009-06-29,2009-07-02,716.0,2,0,2009,6
TULARE,LION,2009-06-30,2009-08-21,0.0,31,0,2009,7
TULARE,LION,2009-06-30,2009-08-21,0.0,21,0,2009,8
TULARE,LION,2009-06-30,2009-08-21,5154.0,1,0,2009,6
TULARE,GRANITE,2009-06-30,2009-08-21,0.0,21,0,2009,8
TULARE,GRANITE,2009-06-30,2009-08-21,0.0,31,0,2009,7
TULARE,GRANITE,2009-06-30,2009-08-21,2834.0,1,0,2009,6
TUOLUMNE,KNIGHT,2009-07-26,2009-08-11,6130.0,6,0,2009,7
TUOLUMNE,KNIGHT,2009-07-26,2009-08-11,0.0,11,0,2009,8
TUOLUMNE,WILDCAT,2009-07-29,2009-08-31,1255.0,3,0,2009,7
TUOLUMNE,WILDCAT,2009-07-29,2009-08-31,0.0,31,0,2009,8
SHASTA,FAIRFIELD,2009-08-03,2009-09-30,1664.0,29,0,2009,8
SHASTA,FAIRFIELD,2009-08-03,2009-09-30,0.0,30,0,2009,9
SISKIYOU,RED ROCK,2009-08-21,2009-09-05,1364.0,11,0,2009,8
SISKIYOU,RED ROCK,2009-08-21,2009-09-05,0.0,5,0,2009,9
LOS ANGELES,MORRIS,2009-08-25,2009-09-03,0.0,3,0,2009,9
LOS ANGELES,MORRIS,2009-08-25,2009-09-03,2163.0,7,0,2009,8
LOS ANGELES,STATION,2009-08-26,2009-10-16,0.0,30,0,2009,9
LOS ANGELES,STATION,2009-08-26,2009-10-16,0.0,16,0,2009,10
LOS ANGELES,STATION,2009-08-26,2009-10-16,321154.0,6,4,2009,8
MARIPOSA,BIG MEADOWS,2009-08-26,2009-09-07,0.0,7,0,2009,9
MARIPOSA,BIG MEADOWS,2009-08-26,2009-09-07,7425.0,6,0,2009,8
MONTEREY,Gloria,2009-08-27,2009-09-01,6437.0,5,0,2009,8
MONTEREY,Gloria,2009-08-27,2009-09-01,0.0,1,0,2009,9
SAN BERNARDINO,Oak Glen III,2009-08-30,2009-09-08,1159.0,2,0,2009,8
PLACER,Forty Nine,2009-08-30,2009-09-01,311.0,2,0,2009,8
SAN BERNARDINO,Oak Glen III,2009-08-30,2009-09-08,0.0,8,0,2009,9
PLACER,Forty Nine,2009-08-30,2009-09-01,0.0,1,0,2009,9
SAN BERNARDINO,PENDLETON,2009-08-31,2009-09-04,860.0,1,0,2009,8
SAN BERNARDINO,PENDLETON,2009-08-31,2009-09-04,0.0,4,0,2009,9
VENTURA,GUIBERSON,2009-09-22,2009-10-01,17500.0,9,0,2009,9
VENTURA,GUIBERSON,2009-09-22,2009-10-01,0.0,1,0,2009,10
FRESNO,SHEEP,2010-07-16,2010-10-25,0.0,25,0,2010,10
FRESNO,SHEEP,2010-07-16,2010-10-25,0.0,30,0,2010,9
FRESNO,SHEEP,2010-07-16,2010-10-25,0.0,31,0,2010,8
FRESNO,SHEEP,2010-07-16,2010-10-25,27060.0,16,0,2010,7
TUOLUMNE,SLOPE,2010-07-25,2010-08-23,1711.0,7,0,2010,7
TUOLUMNE,SLOPE,2010-07-25,2010-08-23,0.0,23,0,2010,8
KERN,BULL,2010-07-26,2010-08-10,0.0,10,0,2010,8
KERN,BULL,2010-07-26,2010-08-10,16442.0,6,0,2010,7
LASSEN,MCDONALD,2010-07-27,2010-08-10,0.0,10,0,2010,8
KERN,WEST,2010-07-27,2010-08-06,0.0,6,0,2010,8
LASSEN,MCDONALD,2010-07-27,2010-08-10,9408.0,5,0,2010,7
KERN,WEST,2010-07-27,2010-08-06,1658.0,5,0,2010,7
LOS ANGELES,CROWN,2010-07-29,2010-08-03,14000.0,3,0,2010,7
LOS ANGELES,CROWN,2010-07-29,2010-08-03,0.0,3,0,2010,8
PLUMAS,BAR,2010-07-31,2010-08-10,0.0,10,0,2010,8
SISKIYOU,DUTCH,2010-07-31,2010-08-04,371.0,1,0,2010,7
SISKIYOU,DUTCH,2010-07-31,2010-08-04,0.0,4,0,2010,8
PLUMAS,BAR,2010-07-31,2010-08-10,1040.0,1,0,2010,7
MADERA,BUCKHORN,2010-08-07,2010-10-30,0.0,30,0,2010,10
MADERA,BUCKHORN,2010-08-07,2010-10-30,932.0,25,0,2010,8
MADERA,BUCKHORN,2010-08-07,2010-10-30,0.0,30,0,2010,9
TUOLUMNE,VERNON,2010-08-08,2010-10-31,0.0,30,0,2010,9
TUOLUMNE,VERNON,2010-08-08,2010-10-31,1818.0,24,0,2010,8
TUOLUMNE,VERNON,2010-08-08,2010-10-31,0.0,31,0,2010,10
TUOLUMNE,PINECREST,2010-08-09,2010-10-15,0.0,15,0,2010,10
TUOLUMNE,PINECREST,2010-08-09,2010-10-15,1598.0,23,0,2010,8
TUOLUMNE,PINECREST,2010-08-09,2010-10-15,0.0,30,0,2010,9
NEVADA,BULLARDS,2010-08-27,2010-09-13,1500.0,5,0,2010,8
NEVADA,BULLARDS,2010-08-27,2010-09-13,0.0,13,0,2010,9
KERN,COVE,2011-05-27,2011-06-02,0.0,2,0,2011,6
KERN,COVE,2011-05-27,2011-06-02,1122.0,5,0,2011,5
TULARE,STAGE,2011-06-27,2011-07-02,0.0,2,0,2011,7
TULARE,STAGE,2011-06-27,2011-07-02,1213.0,4,0,2011,6
TULARE,LION,2011-07-08,2011-11-08,82000.0,24,0,2011,7
TULARE,LION,2011-07-08,2011-11-08,0.0,31,0,2011,8
TULARE,LION,2011-07-08,2011-11-08,0.0,30,0,2011,9
TULARE,LION,2011-07-08,2011-11-08,0.0,31,0,2011,10
TULARE,LION,2011-07-08,2011-11-08,0.0,8,0,2011,11
MODOC,"SCORPION
COMPLEX",2011-07-15,2011-09-05,2836.0,17,0,2011,7
MODOC,"SCORPION
COMPLEX",2011-07-15,2011-09-05,0.0,5,0,2011,9
MODOC,MAMMOTH,2011-07-15,2011-09-05,0.0,31,0,2011,8
MODOC,MAMMOTH,2011-07-15,2011-09-05,0.0,5,0,2011,9
MODOC,"SCORPION
COMPLEX",2011-07-15,2011-09-05,0.0,31,0,2011,8
MODOC,MAMMOTH,2011-07-15,2011-09-05,2388.0,17,0,2011,7
MARIPOSA,AVALANCHE,2011-07-31,2011-10-01,0.0,31,0,2011,8
MARIPOSA,AVALANCHE,2011-07-31,2011-10-01,0.0,30,0,2011,9
MARIPOSA,AVALANCHE,2011-07-31,2011-10-01,0.0,1,0,2011,10
MARIPOSA,AVALANCHE,2011-07-31,2011-10-01,3207.0,1,0,2011,7
MODOC,ANNIE,2011-08-18,2011-09-16,2076.0,14,0,2011,8
MODOC,ANNIE,2011-08-18,2011-09-16,0.0,16,0,2011,9
