County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration
MARIPOSA,LAKES,2016-06-26,2016-10-31,"1,001",0,0,0,0,128 days
SACRAMENTO,RANCHO,2016-06-28,2016-06-30,372,0,0,0,0,3 days
PLACER,TRAILHEAD,2016-06-28,2016-08-14,"5,645",0,0,0,0,48 days
TEHAMA,COLYEAR,2016-06-30,2016-07-06,464,0,0,0,0,7 days
VENTURA,PINE,2016-06-30,2016-07-17,"2,304",0,0,0,0,18 days
FRESNO,CURRY,2016-07-01,2016-07-04,"2,944",0,0,0,0,4 days
KERN,DEER,2016-07-01,2016-07-10,"1,785",0,0,0,0,10 days
CALAVERAS,APPALOOSA,2016-07-02,2016-07-15,310,1,0,0,0,14 days
SHASTA,FIDDLER,2016-07-08,2016-07-09,303,1,1,0,0,2 days
KERN,FORT,2016-07-08,2016-07-09,554,0,0,0,0,2 days
LOS ANGELES,SAGE,2016-07-09,2016-07-16,"1,100",0,2,0,0,8 days
CALAVERAS,PACHECO,2016-07-12,2016-07-18,341,2,0,0,0,7 days
SAN DIEGO,ROBLAR,2016-07-21,2016-07-27,"1,245",0,0,0,0,7 days
LOS ANGELES,SAND,2016-07-22,2016-08-06,"41,383",116,20,0,1,16 days
MONTEREY,SOBERANES,2016-07-22,2016-10-13,"132,127",68,5,1,0,84 days
FRESNO,GOOSE,2016-07-30,2016-08-09,"2,241",9,1,0,0,11 days
BUTTE,99,2016-08-02,2016-08-08,520,0,0,0,0,7 days
YOLO,COLD,2016-08-02,2016-08-12,"5,731",2,0,0,0,11 days
MONO,CLARK,2016-08-04,2016-08-12,"2,819",0,0,0,0,9 days
SAN BERNARDINO,PILOT,2016-08-07,2016-08-16,"8,110",0,0,0,0,10 days
FRESNO,MINERAL,2016-08-08,2016-08-19,"7,050",2,0,0,0,12 days
INYO,HORSESHOE,2016-08-09,2016-08-17,369,0,0,0,0,9 days
LAKE,CLAYTON,2016-08-13,2016-09-03,"3,929",300,28,0,0,22 days
SAN LUIS OBISPO,CHIMNEY,2016-08-13,2016-09-07,"46,235",70,8,0,0,26 days
SAN BERNARDINO,BLUECUT,2016-08-16,2016-09-08,"36,274",321,8,0,0,24 days
KERN,CEDAR,2016-08-16,2016-09-24,"29,322",6,0,0,0,40 days
YUBA,BEALE,2016-08-18,2016-08-19,389,0,0,0,0,2 days
SANTA BARBARA,REY,2016-08-18,2016-09-15,"32,606",5,0,0,0,29 days
ALPINE,MOKELUMNE,2016-08-19,2016-09-20,655,0,0,0,0,33 days
TULARE,TULE,2016-08-22,2016-08-22,395,0,0,0,0,1 days
HUMBOLDT,TULLY,2016-08-22,2016-09-09,599,3,0,0,0,19 days
SISKIYOU,GRADE,2016-08-24,2016-09-10,710,10,1,0,0,18 days
KERN,RANGE,2016-08-26,2016-08-31,600,0,0,0,0,6 days
KERN,HAVILA,2016-08-27,2016-08-31,304,0,0,0,0,5 days
SISKIYOU,GAP,2016-08-27,2016-09-16,"33,867",14,0,0,0,21 days
CALAVERAS,WILLOW,2016-08-28,2016-09-04,450,0,1,0,0,8 days
RIVERSIDE,BOGART,2016-08-30,2016-09-05,"1,470",1,0,0,0,7 days
BUTTE,SADDLE,2016-09-05,2016-09-22,800,3,0,0,0,18 days
MODOC,HOWARD,2016-09-11,2016-09-15,380,0,0,0,0,5 days
LASSEN,WILLARD,2016-09-11,2016-10-12,"2,575",7,0,0,0,32 days
TAHEMA,HOG,2016-09-13,2016-09-13,321,0,0,0,0,1 days
FRESNO,CROWN,2016-09-15,2016-10-31,800,0,0,0,0,47 days
SANTA BARBARA,CANYON,2016-09-17,2016-09-24,"12,742",0,0,1,0,8 days
MONO,OWENS RIVER,2016-09-17,2016-10-15,"5,443",4,0,0,0,29 days
MODOC,SOUP COMPLEX,2016-09-17,2016-10-31,"2,722",0,0,0,0,45 days
KERN,FLAT,2016-09-19,2016-09-22,307,0,0,0,0,4 days
SONOMA,SAWMILL,2016-09-25,2016-10-01,"1,547",0,0,0,0,7 days
TUOLUMNE,MARSHES,2016-09-26,2016-10-04,"1,080",0,0,0,0,9 days
SANTA CLARA,LOMA,2016-09-26,2016-11-08,"4,474",28,1,0,0,44 days
TULARE,SLATE,2016-10-04,2016-11-05,"2,160",0,0,0,0,33 days
FRESNO,SACATA,2016-10-11,2016-10-19,"2,100",0,0,0,0,9 days
TULARE,JACOBSON,2016-10-20,2016-11-01,"1,702",0,0,0,0,13 days
TULARE,MEADOW,2016-10-29,2016-11-22,"4,347",0,0,0,0,25 days
TULARE,HIDDEN,2016-11-02,2016-11-23,"2,768",0,0,0,0,22 days
MODOC,WEST,2017-04-01,2017-04-01,401,0,0,0,0,1 days
FRESNO,JAYNE,2017-04-20,2017-04-21,"4,532",0,0,0,0,2 days
FRESNO,EL DORADO,2017-04-28,2017-04-28,750,0,0,0,0,1 days
RIVERSIDE,OPERA,2017-04-30,2017-05-02,"1,350",0,0,0,0,3 days
MERCED,WRIGHT,2017-05-12,2017-05-13,"1,733",0,0,0,0,2 days
