County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration
HUMBOLDT,TULLY,2016-08-22,2016-09-09,599,3,0,0,0,19.0
SISKIYOU,GRADE,2016-08-24,2016-09-10,710,10,1,0,0,18.0
CALAVERAS,WILLOW,2016-08-28,2016-09-04,450,0,1,0,0,8.0
RIVERSIDE,BOGART,2016-08-30,2016-09-05,"1,470",1,0,0,0,7.0
KERN,RANGE,2016-08-26,2016-08-31,600,0,0,0,0,6.0
KERN,HAVILA,2016-08-27,2016-08-31,304,0,0,0,0,5.0
BUTTE,SADDLE,2016-09-05,2016-09-22,800,3,0,0,0,18.0
MODOC,HOWARD,2016-09-11,2016-09-15,380,0,0,0,0,5.0
LASSEN,WILLARD,2016-09-11,2016-10-12,"2,575",7,0,0,0,32.0
TAHEMA,HOG,2016-09-13,2016-09-13,321,0,0,0,0,1.0
KERN,FLAT,2016-09-19,2016-09-22,307,0,0,0,0,4.0
SONOMA,SAWMILL,2016-09-25,2016-10-01,"1,547",0,0,0,0,7.0
TUOLUMNE,MARSHES,2016-09-26,2016-10-04,"1,080",0,0,0,0,9.0
SANTA CLARA,LOMA,2016-09-26,2016-11-08,"4,474",28,1,0,0,44.0
,,,,"240,388",523,51,1,2,
SAN LUIS OBISPO,CAMP ROBERTS,2016-05-18,2016-05-20,"3,712",0,0,0,0,3.0
TULARE,CHIMNEY,2016-06-01,2016-06-07,"1,324",0,0,0,0,7.0
MONTEREY,STONY,2016-06-02,2016-06-17,"3,000",0,0,0,0,16.0
SAN LUIS OBISPO,SODA,2016-06-04,2016-06-06,"2,003",0,0,0,0,3.0
LOS ANGELES,OLD,2016-06-04,2016-06-10,465,9,1,0,0,7.0
MONTEREY,COLEMAN,2016-06-04,2016-06-17,"2,520",1,0,0,0,14.0
SISKIYOU,PONY,2016-06-07,2016-10-02,"2,860",0,0,0,0,118.0
SANTA BARBARA,SHERPA,2016-06-15,2016-06-23,"7,474",5,0,0,0,9.0
LOS ANGELES,RESERVOIR,2016-06-20,2016-07-05,"1,146",0,0,0,1,16.0
LOS ANGELES,FISH,2016-06-20,2016-07-05,"4,253",0,0,0,0,16.0
KERN,ERSKINE,2016-06-23,2016-07-09,"48,019",286,12,0,2,17.0
MONO,MARINA,2016-06-24,2016-07-04,654,1,0,0,0,11.0
MARIPOSA,LAKES,2016-06-26,2016-10-31,"1,001",0,0,0,0,128.0
VENTURA,PINE,2016-06-30,2016-07-17,"2,304",0,0,0,0,18.0
SAN DIEGO,ROBLAR,2016-07-21,2016-07-27,"1,245",0,0,0,0,7.0
LOS ANGELES,SAND,2016-07-22,2016-08-06,"41,383",116,20,0,1,16.0
MONO,CLARK,2016-08-04,2016-08-12,"2,819",0,0,0,0,9.0
SAN BERNARDINO,PILOT,2016-08-07,2016-08-16,"8,110",0,0,0,0,10.0
INYO,HORSESHOE,2016-08-09,2016-08-17,369,0,0,0,0,9.0
KERN,CEDAR,2016-08-16,2016-09-24,"29,322",6,0,0,0,40.0
SAN BERNARDINO,BLUECUT,2016-08-16,2016-09-08,"36,274",321,8,0,0,24.0
SANTA BARBARA,REY,2016-08-18,2016-09-15,"32,606",5,0,0,0,29.0
ALPINE,MOKELUMNE,2016-08-19,2016-09-20,655,0,0,0,0,33.0
TULARE,TULE,2016-08-22,2016-08-22,395,0,0,0,0,1.0
SISKIYOU,GAP,2016-08-27,2016-09-16,"33,867",14,0,0,0,21.0
FRESNO,CROWN,2016-09-15,2016-10-31,800,0,0,0,0,47.0
SANTA BARBARA,CANYON,2016-09-17,2016-09-24,"12,742",0,0,1,0,8.0
MODOC,SOUP COMPLEX,2016-09-17,2016-10-31,"2,722",0,0,0,0,45.0
MONO,OWENS RIVER,2016-09-17,2016-10-15,"5,443",4,0,0,0,29.0
TULARE,SLATE,2016-10-04,2016-11-05,"2,160",0,0,0,0,33.0
FRESNO,SACATA,2016-10-11,2016-10-19,"2,100",0,0,0,0,9.0
TULARE,JACOBSON,2016-10-20,2016-11-01,"1,702",0,0,0,0,13.0
TULARE,MEADOW,2016-10-29,2016-11-22,"4,347",0,0,0,0,25.0
TULARE,HIDDEN,2016-11-02,2016-11-23,"2,768",0,0,0,0,22.0
,,,,"302,564",768,41,1,4,
INYO,MOFFAT,2018-04-19,2018-04-24,"1,065",0,0,0,0,6.0
MERCED,NEES,2018-05-02,2018-05-02,"1,756",0,0,0,0,1.0
RIVERSIDE,PATTERSON,2018-05-17,2018-05-18,"1,261",0,0,0,0,2.0
MADERA,CANAL,2018-05-19,2018-05-20,300,0,0,0,0,2.0
LOS ANGELES,STONE,2018-06-04,2018-06-08,"1,352",0,0,0,0,5.0
MADERA,O'NEALS,2018-06-04,2018-06-07,300,0,0,0,0,4.0
SAN BENITO,AIRLINE 2,2018-06-04,2018-06-12,"1,314",0,0,0,0,9.0
SAN BENITO,EASTERN 2,2018-06-04,2018-06-12,513,0,0,0,0,9.0
TEHAMA,APPLE,2018-06-09,2018-06-12,"2,956",9,3,0,0,4.0
GLENN,CHROME,2018-06-09,2018-06-22,"2,290",1,0,0,0,14.0
MERCED,PLANADA,2018-06-15,2018-06-19,"4,563",0,0,0,0,5.0
LAKE,PAWNEE,2018-06-23,2018-07-08,"15,180",22,6,0,0,16.0
TEHAMA,LANE,2018-06-23,2018-07-04,"3,392",0,0,0,0,12.0
SHASTA,PANTHER,2018-06-24,2018-06-26,386,0,0,0,0,3.0
BUTTE,SHIPPEE,2018-06-26,2018-06-27,460,0,0,0,0,2.0
LASSEN,HYATT,2018-06-27,2018-06-29,383,4,0,0,0,3.0
SAN JOAQUIN,WAVERLY,2018-06-29,2018-07-12,"11,789",1,0,0,0,14.0
YOLO,COUNTY,2018-06-30,2018-07-14,"90,000",29,4,0,0,15.0
EL DORADO,SHINGLE,2018-07-04,2018-07-05,316,0,0,0,0,2.0
SISKIYOU,KLAMATHON,2018-07-05,2018-07-21,"38,008",83,12,0,1,17.0
SAN BERNARDINO,VALLEY,2018-07-06,2018-07-12,"1,350",0,0,0,0,7.0
AMADOR,IRISH,2018-07-06,2018-07-09,825,1,1,0,0,4.0
ALAMEDA,GRANT,2018-07-08,2018-07-09,480,1,0,0,0,2.0
TEHAMA,DALE,2028-07-09,2018-07-09,856,0,0,0,0,-3652.0
YOLO,EIGHTY EIGHT,2018-07-18,2018-07-21,822,0,0,0,0,4.0
SANTA CLARA,COUNTRY,2018-07-22,2018-07-24,320,0,0,0,0,3.0
SHASTA,CARR,2018-07-23,2018-09-01,"229,651",0,279,3,4,41.0
SAN DIEGO,PASQUAL,2018-07-27,2018-07-31,365,0,0,0,0,5.0
"COLUSA, LAKE,
MENDOCINO","RIVER - MENDOCINO
COMPLEX",2018-07-27,2018-09-27,"48,920",35,11,0,0,63.0
