County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd,Year
YUBA,YUBA RIVER COMPLEX,2008-06-21,2008-07-15,4254,0,0,25,0,0,2008
MENDOCINO,Mallo-B Lightning,2008-06-21,2008-07-17,4466,0,0,27,0,0,2008
SHASTA,WHISKEYTOWN COMPLEX,2008-06-21,2008-07-19,6420,0,0,29,0,0,2008
LASSEN,CUB COMPLEX,2008-06-21,2008-07-20,19718,0,0,30,0,0,2008
SHASTA,Lewiston 8,2008-06-21,2008-07-23,1311,0,0,33,0,0,2008
SHASTA,STA 57 ONO CDF IGO 2,2008-06-21,2008-07-24,4000,0,0,34,0,0,2008
SHASTA,IGO 6,2008-06-21,2008-07-24,4200,0,0,34,0,0,2008
SHASTA,IGO 13,2008-06-21,2008-07-24,600,0,0,34,0,0,2008
SHASTA,IGO 15,2008-06-21,2008-07-24,1200,0,0,34,0,0,2008
SHASTA,IGO 16,2008-06-21,2008-07-24,4800,0,0,34,0,0,2008
SHASTA,IGO 17,2008-06-21,2008-07-24,2400,0,0,34,0,0,2008
SHASTA,IGO 18,2008-06-21,2008-07-24,4200,0,0,34,0,0,2008
LAKE,SODA COMPLEX,2008-06-21,2008-07-26,8632,0,0,36,0,0,2008
MONTEREY,BASIN COMPLEX,2008-06-21,2008-07-27,162818,0,0,37,0,0,2008
BUTTE,Frey,2008-06-21,2008-07-28,4000,0,0,38,0,0,2008
PLACER,"AMERICAN RIVER
COMPLEX",2008-06-21,2008-07-30,20541,0,0,40,0,0,2008
MENDOCINO,Red Mtn 1 Lightning,2008-06-21,2008-08-01,7515,0,0,42,0,0,2008
HUMBOLDT,Paradise,2008-06-21,2008-08-01,1076,0,0,42,0,0,2008
SHASTA,Moon,2008-06-21,2008-08-09,6030,0,0,50,0,0,2008
SHASTA,Lakehead,2008-06-21,2008-08-23,27936,0,0,64,0,0,2008
TRINITY,"IRON COMPLEX & ALPS
COMPLEX",2008-06-21,2008-09-09,105805,9,0,81,0,0,2008
PLUMAS,CANYON COMPLEX,2008-06-21,2008-09-30,47680,0,0,102,0,0,2008
TEHAMA,ANTELOPE,2008-06-22,2008-06-26,600,0,0,5,0,0,2008
SAN MATEO,Quarry,2008-06-22,2008-06-29,300,0,0,8,0,0,2008
