County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd
TEHAMA,PANTHER,2013-05-01,2013-05-09,"6,896",0,0,9,0,0
VENTURA,SPRINGS,2013-05-02,2013-05-09,"24,251",0,0,8,10,12
LOS ANGELES,LAKE,2013-05-17,2013-05-20,712,0,0,4,0,0
MERCED,RIVER,2013-05-26,2013-05-27,450,0,0,2,0,0
SAN LUIS OBISPO,BRANCH,2013-06-01,2013-06-04,486,0,0,4,0,0
SAN BERNARDINO,MILL,2013-06-28,2013-07-02,534,0,0,5,0,3
MODOC,FOX,2013-07-03,2013-07-07,502,0,0,5,0,0
RIVERSIDE,MOUNTAIN,2013-07-15,2013-07-31,"27,531",0,0,17,23,1
KERN,RANCHO,2013-07-19,2013-07-22,500,0,0,4,0,0
RIVERSIDE,SILVER,2013-08-07,2013-08-15,"20,292",0,0,9,48,8
PLACER,AMERICAN,2013-08-11,2013-08-29,"27,440",0,0,19,5,2
BUTTE,SWEDES,2013-08-16,2013-08-22,"2,264",0,0,7,8,0
MONTEREY,MISSION,2013-08-22,2013-08-25,"4,500",0,0,4,0,0
TEHAMA,DEER,2013-08-23,2013-08-29,"11,429",0,0,7,0,0
TULARE,FISH,2013-08-23,2013-09-05,"2,060",0,0,14,0,0
SHASTA,CLOVER,2013-09-09,2013-09-15,"8,073",0,1,7,196,15
BUTTE,SUMMIT,2013-10-04,2013-10-05,305,0,0,2,54,6
SAN DIEGO,DELUZ,2013-10-05,2013-10-09,"2,236",0,0,5,0,1
SONOMA,MCCABE,2013-11-22,2013-11-28,"3,505",0,0,7,1,0
HUMBOLDT,RED,2014-01-04,2014-01-12,333,0,0,9,0,0
TULARE,SODA,2014-01-14,2014-04-19,"1,612",0,0,96,0,0
MARIPOSA,HUNTER,2014-05-26,2014-06-04,677,0,0,10,3,0
MERCED,GUN CLUB,2014-06-19,2014-06-19,400,0,0,1,0,0
MONTEREY,STONY,2014-06-19,2014-06-22,"4,840",0,0,4,0,0
MERCED,GUN CLUB,2014-07-24,2014-08-02,422,0,0,10,0,0
EL DORADO,SAND,2014-07-25,2014-08-03,"4,240",0,0,10,47,0
MADERA,FRENCH,2014-07-28,2014-08-18,"13,838",0,0,22,0,0
SISKIYOU,JULY COMPLEX,2014-08-03,2014-09-25,"50,042",0,0,54,2,0
MARIPOSA,MEADOW,2014-08-15,2014-09-29,"4,772",0,0,46,0,0
SHASTA,GULCH,2014-09-10,2014-09-15,"1,300",0,0,6,4,0
ORANGE,SILVERADO,2014-09-12,2014-09-20,985,0,0,9,0,0
BUTTE,NELSON,2014-09-18,2014-09-21,500,0,0,4,0,0
RIVERSIDE,HIGHWAY,2015-04-18,2015-04-24,"1,049",0,0,7,0,0
TRINITY,SADDLE,2015-06-09,2015-06-25,"1,542",0,0,17,0,0
SAN BERNARDINO,LAKE,2015-06-17,2015-07-05,"31,359",0,0,19,4,0
SAN BERNARDINO,NORTH,2015-07-17,2015-07-21,"4,250",0,0,5,23,5
MERCED,MCCABE,2015-07-18,2015-07-22,"1,600",0,0,5,0,0
TULARE,CABIN,2015-07-19,2015-09-05,"6,980",0,0,49,0,0
MADERA,WILLOW,2015-07-25,2015-08-15,"5,702",0,0,22,0,0
BUTTE,SWEDES,2015-07-29,2015-08-16,400,0,0,19,16,0
TRINITY,RIVER COMPLEX,2015-07-30,2015-10-15,"77,081",0,0,78,0,0
MERCED,CREEK,2015-07-31,2015-07-31,"1,450",0,0,1,0,0
TRINITY,SOUTH COMPLEX,2015-08-01,2015-10-01,"29,416",0,0,62,3,0
LOS ANGELES,CABIN,2015-08-14,2015-08-20,"1,723",0,0,7,3,0
MONO,WALKER,2015-08-14,2015-08-31,"3,676",0,0,18,0,0
KERN,DEER,2015-08-18,2015-08-20,311,0,0,3,0,0
ALAMEDA,TESLA,2015-08-19,2015-08-25,"2,850",0,0,7,1,0
AMADOR,BUTTE,2015-09-09,2015-10-23,"70,868",0,2,45,965,0
LAKE,VALLEY,2015-09-12,2015-10-15,"76,067",0,4,34,0,93
MONTEREY,METZ,2016-05-22,2016-05-25,"3,876",0,0,4,0,0
MONTEREY,METZ,2016-05-22,2016-05-25,"3,876",0,0,4,0,0
TULARE,CHIMNEY,2016-06-01,2016-06-07,"1,324",0,0,7,0,0
