County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd
Shasta,Lakehead,2008-06-21,2008-08-23,27936,0,0,64,0,0
Trinity,"IRON COMPLEX & ALPS
COMPLEX",2008-06-21,2008-09-09,105805,9,0,81,0,0
Plumas,CANYON COMPLEX,2008-06-21,2008-09-30,47680,0,0,102,0,0
Tehama,ANTELOPE,2008-06-22,2008-06-26,600,0,0,5,0,0
San Mateo,Quarry,2008-06-22,2008-06-29,300,0,0,8,0,0
Sonoma,Walker,2008-06-22,2008-06-29,15000,0,0,8,0,0
Tehama,MILL COMPLEX,2008-06-22,2008-06-29,2100,0,0,8,0,0
Shasta,Venture,2008-06-22,2008-07-04,1912,0,0,13,0,0
Lassen,Popcorn,2008-06-22,2008-07-08,3000,0,0,17,0,0
Mendocino,Orr Incident,2008-06-22,2008-07-10,3000,0,0,19,0,0
Mendocino,Cliff Ridge B Lightning,2008-06-22,2008-07-12,999,0,0,21,0,0
Mendocino,Shamrock East Lightning,2008-06-22,2008-07-12,469,0,0,21,0,0
Mendocino,5-8 Cliff Lightning,2008-06-22,2008-07-13,1000,0,0,22,0,0
Siskiyou,"BEAR WALLOW COMPLEX
(KLAMATH THEATER)",2008-06-22,2008-09-30,192038,2,0,101,0,0
Madera,Oliver / MRP 588,2008-06-23,2008-07-06,2789,0,0,14,0,0
Lassen,Corral,2008-06-23,2008-07-07,12500,0,0,15,0,0
Tehama,Mill Creek,2008-06-24,2008-07-01,13580,0,0,8,0,0
Mendocino,Juan Creek Lightning,2008-06-27,2008-07-15,450,0,0,19,0,0
Kern,PIUTE,2008-06-28,2008-07-25,37026,0,0,28,0,0
Mendocino,Hardy,2008-06-30,2008-06-30,5581,0,0,1,0,0
Tulare,Wiggle,2008-07-01,2008-07-02,450,0,0,2,0,0
Santa Barbara,GAP,2008-07-01,2008-07-28,9443,0,0,28,0,0
Lassen,Dixie,2008-07-02,2008-07-04,350,0,0,3,0,0
Mendocino,Orr Springs Rd Orr 3,2008-07-03,2008-07-03,3000,0,0,1,0,0
Mendocino,Travis 3 Lightning,2008-07-04,2008-07-04,750,0,0,1,0,0
Mendocino,Casoose Creek Lightning,2008-07-04,2008-07-04,550,0,0,1,0,0
Mendocino,Butch Lightning,2008-07-04,2008-07-04,2800,0,0,1,0,0
Mendocino,Albion Lightning,2008-07-04,2008-07-08,3000,0,0,5,0,0
Mendocino,Horse Lightning,2008-07-04,2008-07-08,1000,0,0,5,0,0
Mendocino,Lost Pipe Lightning,2008-07-04,2008-07-10,1200,0,0,7,0,0
Mendocino,Burger Ck Lightning,2008-07-04,2008-07-12,528,0,0,9,0,0
Mendocino,Orr Series Lightning,2008-07-04,2008-07-13,3000,0,0,10,0,0
Mendocino,Jameson Lightning,2008-07-04,2008-07-13,925,0,0,10,0,0
