County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration,Duration_Days
Placer,TRAILHEAD,6/28/2016,8/14/2016,5645,0,0,0,0,48 days,48
Tehama,COLYEAR,6/30/2016,7/6/2016,464,0,0,0,0,7 days,7
Ventura,PINE,6/30/2016,7/17/2016,2304,0,0,0,0,18 days,18
Fresno,CURRY,7/1/2016,7/4/2016,2944,0,0,0,0,4 days,4
Kern,DEER,7/1/2016,7/10/2016,1785,0,0,0,0,10 days,10
Calaveras,APPALOOSA,7/2/2016,7/15/2016,310,1,0,0,0,14 days,14
Shasta,FIDDLER,7/8/2016,7/9/2016,303,1,1,0,0,2 days,2
Kern,FORT,7/8/2016,7/9/2016,554,0,0,0,0,2 days,2
Los Angeles,SAGE,7/9/2016,7/16/2016,1100,0,2,0,0,8 days,8
Calaveras,PACHECO,7/12/2016,7/18/2016,341,2,0,0,0,7 days,7
San Diego,ROBLAR,7/21/2016,7/27/2016,1245,0,0,0,0,7 days,7
Los Angeles,SAND,7/22/2016,8/6/2016,41383,116,20,0,1,16 days,16
Monterey,SOBERANES,7/22/2016,10/13/2016,132127,68,5,1,0,84 days,84
Fresno,GOOSE,7/30/2016,8/9/2016,2241,9,1,0,0,11 days,11
Butte,99,8/2/2016,8/8/2016,520,0,0,0,0,7 days,7
Yolo,COLD,8/2/2016,8/12/2016,5731,2,0,0,0,11 days,11
Mono,CLARK,8/4/2016,8/12/2016,2819,0,0,0,0,9 days,9
San Bernardino,PILOT,8/7/2016,8/16/2016,8110,0,0,0,0,10 days,10
Fresno,MINERAL,8/8/2016,8/19/2016,7050,2,0,0,0,12 days,12
Inyo,HORSESHOE,8/9/2016,8/17/2016,369,0,0,0,0,9 days,9
Lake,CLAYTON,8/13/2016,9/3/2016,3929,300,28,0,0,22 days,22
San Luis Obispo,CHIMNEY,8/13/2016,9/7/2016,46235,70,8,0,0,26 days,26
San Bernardino,BLUECUT,8/16/2016,9/8/2016,36274,321,8,0,0,24 days,24
Kern,CEDAR,8/16/2016,9/24/2016,29322,6,0,0,0,40 days,40
