County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration,Duration_Days
Tulare,ALDER,10/4/2018,12/22/2018,4654,0,0,0,0,80 days,80
Tehama,SUN,10/7/2018,10/7/2018,3889,0,0,0,0,1 days,1
Solano,BRANSCOMBE,10/7/2018,10/8/2018,4500,2,0,0,0,2 days,2
Tulare,MOUNTAINEER,10/13/2018,12/22/2018,1270,0,0,0,0,71 days,71
Butte,JUNES,10/30/2018,11/12/2018,550,0,0,0,0,14 days,14
Ventura,HILL,11/8/2018,11/16/2018,4381,4,2,0,0,9 days,9
Ventura,WOOLSEY,11/8/2018,11/22/2018,96949,0,364,0,3,15 days,15
Butte,CAMP,11/8/2018,12/20/2018,153336,0,754,0,85,43 days,43
Riverside,LINCOLN,3/15/2019,3/20/2019,560,0,0,0,0,6 days,6
Kern,REFUGE,5/7/2019,5/8/2019,2500,0,0,0,0,2 days,2
Tuolumne,ROSASCO,5/23/2019,9/11/2019,731,0,0,0,0,112 days,112
San Luis Obispo,BELMONT,5/29/2019,5/29/2019,835,0,0,0,0,1 days,1
San Luis Obispo,BOULDER,6/5/2019,6/5/2019,1075,0,0,0,0,1 days,1
Stanislaus,STUHR,6/7/2019,6/7/2019,581,0,0,0,0,1 days,1
Sutter,WEST BUTTE,6/8/2019,6/9/2019,1300,7,0,0,0,2 days,2
Colusa,SAND,6/8/2019,6/15/2019,2220,4,0,0,0,8 days,8
Tulare,JORDAN,6/9/2019,7/1/2019,591,0,0,0,0,23 days,23
San Luis Obispo,MCMILLAN,6/12/2019,6/13/2019,1763,0,0,0,0,2 days,2
Trinity,EAST,6/17/2019,7/18/2019,410,0,0,0,0,32 days,32
Riverside,JERRY,6/21/2019,6/21/2019,500,0,0,0,0,1 days,1
Monterey,LONOAK,6/25/2019,6/26/2019,2546,0,0,0,0,2 days,2
Stanislaus,ROCK,6/25/2019,6/27/2019,2420,0,0,0,0,3 days,3
San Luis Obispo,GILLIS,7/8/2019,7/9/2019,1010,1,1,0,0,2 days,2
Tulare,COW,7/25/2019,10/11/2019,2025,0,0,0,0,79 days,79
Mono,SPRINGS,7/26/2019,10/1/2019,4840,0,0,0,0,68 days,68
Modoc,TUCKER,7/28/2019,8/4/2019,14150,0,0,0,0,8 days,8
Monterey,LAKE,7/29/2019,8/1/2019,306,0,0,0,0,4 days,4
Monterey,MILL,7/30/2019,8/8/2019,310,0,0,0,0,10 days,10
San Diego,CALIENTE,8/1/2019,8/3/2019,448,0,0,0,0,3 days,3
Contra Costa,MARSH CREEK 3,8/3/2019,8/7/2019,340,0,0,0,0,5 days,5
Lassen,W-1 MCDONALD,8/8/2019,8/11/2019,1020,0,0,0,0,4 days,4
Tulare,BRODER,8/8/2019,9/20/2019,381,0,0,0,0,44 days,44
San Bernardino,BARSTOW,8/11/2019,8/12/2019,685,0,0,0,0,2 days,2
Mariposa,HUNTER,8/15/2019,8/15/2019,433,0,0,0,0,1 days,1
Mariposa,GAINES,8/16/2019,8/20/2019,1300,0,0,0,0,5 days,5
Shasta,MOUNTAIN,8/22/2019,8/31/2019,600,14,7,0,0,10 days,10
Lassen,LONG VALLEY,8/24/2019,8/27/2019,2438,1,4,0,0,4 days,4
Lassen,R-1 RANCH,8/28/2019,9/4/2019,3380,0,0,0,0,8 days,8
Tulare,CREEK,8/31/2019,9/4/2019,756,0,0,0,0,5 days,5
Riverside,TENAJA,9/4/2019,9/14/2019,1926,0,3,0,0,11 days,11
Plumas,WALKER,9/4/2019,9/25/2019,54608,9,0,0,0,22 days,22
Inyo,TABOOSE,9/4/2019,11/21/2019,10400,0,0,0,0,79 days,79
Tehama,RED BANK,9/5/2019,9/17/2019,8836,2,0,0,0,13 days,13
Modoc,LONE,9/5/2019,9/17/2019,5737,0,0,0,0,13 days,13
Siskiyou,LIME,9/5/2019,9/25/2019,1872,0,0,0,0,21 days,21
Trinity,MIDDLE,9/5/2019,10/11/2019,1339,0,0,0,0,37 days,37
Tehama,SOUTH,9/5/2019,11/27/2019,5332,2,0,0,0,84 days,84
Butte,SWEDES,9/7/2019,9/9/2019,496,2,1,0,0,3 days,3
Riverside,HORSESHOE,9/14/2019,9/17/2019,503,0,0,0,0,4 days,4
Placer,BASELINE,9/20/2019,9/21/2019,640,0,0,0,0,2 days,2
Napa,AMERICAN,10/6/2019,10/7/2019,526,1,0,0,0,2 days,2
Mariposa,BRICEBURG,10/6/2019,10/20/2019,5563,1,0,0,0,15 days,15
Riverside,RECHE,10/10/2019,10/12/2019,350,1,1,0,0,3 days,3
Riverside,SANDALWOOD,10/10/2019,10/15/2019,1011,73,16,0,2,6 days,6
Los Angeles,SADDLE RIDGE,10/10/2019,10/26/2019,8799,24,91,0,1,17 days,17
El Dorado,CAPLES,10/10/2019,10/31/2019,3435,0,0,0,0,22 days,22
Santa Barbara,REAL,10/17/2019,10/21/2019,420,0,0,0,0,5 days,5
Sonoma,KINCADE,10/23/2019,11/10/2019,77758,374,60,0,0,19 days,19
Los Angeles,TICK,10/24/2019,10/31/2019,3950,29,46,0,0,8 days,8
Tehama,RAWSON,10/26/2019,10/27/2019,605,1,3,0,0,2 days,2
Mendocino,BURRIS,10/27/2019,11/2/2019,703,0,0,0,0,7 days,7
Los Angeles,GETTY,10/28/2019,11/14/2019,745,13,19,0,0,18 days,18
Ventura,EASY,10/30/2019,11/8/2019,2375,1,1,0,0,10 days,10
Riverside,46TH,10/31/2019,10/31/2019,328,7,7,0,0,1 days,1
Riverside,HILL,10/31/2019,11/3/2019,628,0,0,0,0,4 days,4
Ventura,MARIA,10/31/2019,11/6/2019,9999,4,0,0,0,7 days,7
Tehama,RANCH,11/3/2019,11/6/2019,2534,0,1,0,0,4 days,4
Placer,FOOTHILLS,11/25/2019,11/25/2019,308,0,0,0,0,1 days,1
Santa Barbara,CAVE,11/25/2019,12/13/2019,3126,0,1,0,0,19 days,19
