County,Tot_Damage,Year,county_up
Solano,2512.0,2012,SOLANO
Sonoma,691886.0,2012,SONOMA
Yolo,4.0,2012,YOLO
Glenn,200.0,2012,GLENN
Tehama,16489420.0,2012,TEHAMA
Fresno,745291.0,2012,FRESNO
Kings,3600.0,2012,KINGS
Madera,9060.0,2012,MADERA
Mariposa,80202.0,2012,MARIPOSA
Merced,4000.0,2012,MERCED
Riverside,1494451.0,2012,RIVERSIDE
Monterey,444355.0,2012,MONTEREY
San Benito,1480.0,2012,SAN BENITO
Inyo,0.0,2012,INYO
San Bernardino,33300.0,2012,SAN BERNARDINO
San Diego,1011115.0,2012,SAN DIEGO
San Luis Obispo,43800.0,2012,SAN LUIS OBISPO
Tulare,8906.0,2012,TULARE
Calaveras,166265.0,2012,CALAVERAS
Tuolumne,48893.0,2012,TUOLUMNE
Amador,2050.0,2013,AMADOR
El Dorado,2168563.0,2013,EL DORADO
Sacramento,2.0,2013,SACRAMENTO
San Joaquin,1.0,2013,SAN JOAQUIN
Butte,843776.0,2013,BUTTE
Tehama,0.0,2013,TEHAMA
Del Norte,20.0,2013,DEL NORTE
Humboldt,48505.0,2013,HUMBOLDT
Lassen,5377.0,2013,LASSEN
Modoc,30051.0,2013,MODOC
Plumas,1274.0,2013,PLUMAS
Shasta,1.0,2013,SHASTA
Siskiyou,200.0,2013,SISKIYOU
Mendocino,314912.0,2013,MENDOCINO
Nevada,332568.0,2013,NEVADA
Placer,69951.0,2013,PLACER
Sierra,0.0,2013,SIERRA
Sutter,0.0,2013,SUTTER
Yuba,34257.0,2013,YUBA
San Mateo,1215.0,2013,SAN MATEO
Santa Cruz,749518.0,2013,SANTA CRUZ
Alameda,142125.0,2013,ALAMEDA
Contra Costa,112910.0,2013,CONTRA COSTA
Santa Clara,13560.0,2013,SANTA CLARA
Shasta,5501893.0,2013,SHASTA
Shasta,1.0,2013,SHASTA
Siskiyou,2400.0,2013,SISKIYOU
Colusa,1020.0,2013,COLUSA
Lake,404321.0,2013,LAKE
Napa,102762.0,2013,NAPA
Solano,327704.0,2013,SOLANO
Sonoma,9366896.0,2013,SONOMA
Yolo,15000.0,2013,YOLO
Glenn,2500.0,2013,GLENN
Tehama,346400.0,2013,TEHAMA
Fresno,58000.0,2013,FRESNO
Kings,0.0,2013,KINGS
Madera,12650.0,2013,MADERA
Mariposa,400.0,2013,MARIPOSA
Merced,0.0,2013,MERCED
Riverside,7978346.0,2013,RIVERSIDE
Monterey,3875.0,2013,MONTEREY
San Benito,22600.0,2013,SAN BENITO
Inyo,60350.0,2013,INYO
San Bernardino,7326.0,2013,SAN BERNARDINO
San Diego,277957.0,2013,SAN DIEGO
San Luis Obispo,41050.0,2013,SAN LUIS OBISPO
Tulare,30920.0,2013,TULARE
Calaveras,48644.0,2013,CALAVERAS
Tuolumne,107172.0,2013,TUOLUMNE
Amador,152901.0,2014,AMADOR
El Dorado,218451.0,2014,EL DORADO
Sacramento,52.0,2014,SACRAMENTO
San Joaquin,0.0,2014,SAN JOAQUIN
Butte,141734.0,2014,BUTTE
Tehama,0.0,2014,TEHAMA
Del Norte,20075.0,2014,DEL NORTE
Humboldt,247101.0,2014,HUMBOLDT
Lassen,756523.0,2014,LASSEN
Modoc,11.0,2014,MODOC
Plumas,902.0,2014,PLUMAS
