County,Tot_Damage,Year,county_up
Santa Clara,12750.0,2021,SANTA CLARA
Santa Cruz,39850.0,2021,SANTA CRUZ
Shasta,31358970.0,2021,SHASTA
Sierra,0.0,2021,SIERRA
Siskiyou,408550.0,2021,SISKIYOU
Solano,0.0,2021,SOLANO
Sonoma,443400.0,2021,SONOMA
Stanislaus,114501.0,2021,STANISLAUS
Sutter,0.0,2021,SUTTER
Tehama,1263355.0,2021,TEHAMA
Trinity,920000.0,2021,TRINITY
Tulare,98750.0,2021,TULARE
Tuolumne,142405.0,2021,TUOLUMNE
Yolo,124000.0,2021,YOLO
Yuba,2003400.0,2021,YUBA
