Year,County,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration,Unique_Fire_Days,Total_Fires
2018,Mono,757,0,0,0,0,12.0,6,2
2018,Monterey,3786,0,0,0,0,8.0,8,4
2018,Napa,2490,0,0,0,0,8.0,8,1
2018,Orange,23025,24,18,0,0,40.0,40,1
2018,Placer,1815,0,0,0,0,17.0,17,2
2018,Riverside,14400,12,5,0,0,18.0,18,2
2018,San Benito,1827,0,0,0,0,18.0,9,2
2018,San Bernardino,1350,0,0,0,0,7.0,7,1
2018,San Diego,2690,48,14,0,0,17.0,12,4
2018,San Joaquin,11789,1,0,0,0,14.0,14,1
2018,San Luis Obispo,2514,0,0,0,0,14.0,14,2
2018,Santa Clara,320,0,0,0,0,3.0,3,1
2018,Shasta,341299,42,283,3,4,131.0,84,5
2018,Siskiyou,38008,83,12,0,1,17.0,17,1
2018,Solano,6662,3,1,0,0,7.0,7,2
2018,Sutter,1000,0,0,0,0,3.0,3,1
2018,Tehama,10237,9,3,0,0,17.0,17,3
2018,Trinity,1751,5,0,0,0,14.0,14,1
2018,Tulare,6420,0,0,0,0,156.0,85,3
2018,Tuolumne,37023,135,0,0,0,95.0,92,2
2018,Ventura,101330,4,366,0,3,24.0,15,2
2018,Yolo,90822,29,4,0,0,19.0,19,2
2019,Butte,496,2,1,0,0,3.0,3,1
2019,Colusa,2220,4,0,0,0,374.0,374,1
2019,Contra Costa,340,0,0,0,0,5.0,5,1
2019,El Dorado,3435,0,0,0,0,22.0,22,1
2019,Inyo,10400,0,0,0,0,79.0,79,1
2019,Kern,2500,0,0,0,0,2.0,2,1
2019,Lassen,6838,1,4,0,0,16.0,16,3
2019,Los Angeles,13494,66,156,0,1,43.0,36,3
2019,Mariposa,7296,1,0,0,0,21.0,21,3
2019,Mendocino,703,0,0,0,0,7.0,7,1
2019,Modoc,19887,0,0,0,0,21.0,21,2
2019,Mono,4840,0,0,0,0,68.0,68,1
2019,Monterey,3162,0,0,0,0,16.0,13,3
2019,Napa,526,1,0,0,0,2.0,2,1
2019,Placer,948,0,0,0,0,3.0,3,2
2019,Plumas,54608,9,0,0,0,22.0,22,1
2019,Riverside,5806,81,27,0,2,36.0,31,8
2019,San Bernardino,685,0,0,0,0,2.0,2,1
2019,San Diego,448,0,0,0,0,3.0,3,1
2019,San Luis Obispo,4683,1,1,0,0,6.0,6,4
2019,Santa Barbara,3546,0,1,0,0,24.0,24,2
2019,Shasta,600,14,7,0,0,10.0,10,1
2019,Siskiyou,1872,0,0,0,0,21.0,21,1
2019,Sonoma,77758,374,60,0,0,19.0,19,1
2019,Stanislaus,3001,0,0,0,0,4.0,4,2
2019,Sutter,1300,7,0,0,0,2.0,2,1
2019,Tehama,17307,5,4,0,0,103.0,84,4
2019,Trinity,1749,0,0,0,0,69.0,69,2
2019,Tulare,3753,0,0,0,0,151.0,102,4
2019,Tuolumne,731,0,0,0,0,112.0,112,1
2019,Ventura,12374,5,1,0,0,17.0,10,2
2028,Tehama,856,0,0,0,0,-3652.0,0,1
